l1_name,industry_code,industry_name,latest_date,total_mv_yi,prefilter_label,final_label,summary_line,prefilter_hit_count,structure_score,breakout_emerged,breakout_confirmed,leader_turning_strong_ok,leader_confirmed_ok,leader_count,leader_group_names,leader_group_detail,leader_active_count,leader_top1_name,leader_top1_pct_change,leader_top1_above_ma60,leader_top1_above_ma250,leader_follow_ok,leader_5d_rank_pct,leaders_above_ma60_count,leaders_above_ma250_count,leaders_above_ma60_ratio,leaders_above_ma250_ratio,local_activity_ok,has_ma250,has_amount_ma20,has_ret_120d_rank,industry_amount,market_amount,absorption_rate,absorption_rate_rank_pct,absorption_rate_5d_change,crowding_label,crowding_note
有色金属,801051.SI,金属新材料,20260630,4457.7443,趋势延续对象,趋势延续型强势,趋势延续型强势，不属于启动识别对象。,4,1,False,False,True,True,10,金力永磁、铂科新材、斯瑞新材、龙磁科技、江南新材、安泰科技、博威合金、中科三环、春光集团、宁波韵升,金力永磁 +4.83%、铂科新材 +1.51%、斯瑞新材 +4.84%、龙磁科技 +3.34%、江南新材 +4.13%、安泰科技 +2.38%、博威合金 +1.59%、中科三环 +9.99%、春光集团 +4.15%、宁波韵升 +6.15%,4,金力永磁,4.825,False,False,True,-0.05657492354740068,8,8,0.8,0.8,False,True,True,True,2382071.0,3682796937.5763597,0.0006468103021633431,0.642570281124498,-0.00010617639738425249,拥挤正常,吸筹率未进入明显拥挤区间。
机械设备,801072.SI,通用设备,20260630,25735.0711,趋势延续对象,趋势延续型偏强,趋势延续型偏强，不属于启动识别对象。,3,2,False,False,True,False,10,联讯仪器、鼎泰高科、精测电子、精智达、冰轮环境、中集集团、申菱环境、应流股份、新莱应材、华兴源创,联讯仪器 -1.18%、鼎泰高科 -0.52%、精测电子 +7.66%、精智达 +1.42%、冰轮环境 +10.00%、中集集团 -0.98%、申菱环境 +13.08%、应流股份 +1.39%、新莱应材 -3.03%、华兴源创 +4.51%,5,联讯仪器,-1.1774,,,False,-0.015961864406779713,6,8,0.6,0.8,False,True,True,True,11453567.0,3682796937.5763597,0.003110018606547872,0.6345381526104418,-1.0536126132898622e-05,拥挤正常,吸筹率未进入明显拥挤区间。
基础化工,801034.SI,化学制品,20260630,18903.9127,趋势延续对象,趋势延续型偏强,趋势延续型偏强，不属于启动识别对象。,2,1,True,True,True,False,10,万华化学、巨化股份、昊华科技、新和成、多氟多、合盛硅业、三美股份、浙江龙盛、凯赛生物、杭氧股份,万华化学 -4.89%、巨化股份 -1.47%、昊华科技 +10.00%、新和成 -3.50%、多氟多 +10.01%、合盛硅业 +6.18%、三美股份 +10.00%、浙江龙盛 -4.19%、凯赛生物 -1.71%、杭氧股份 +1.84%,6,万华化学,-4.8936,False,False,False,-0.06030219780219781,7,7,0.7,0.7,True,True,True,True,8859088.0,3682796937.5763597,0.0024055325748777627,0.891566265060241,-9.247443188224822e-06,拥挤偏高,吸筹率已偏高，后续需要观察是否继续缩圈。
基础化工,801036.SI,塑料,20260630,8355.3477,趋势延续对象,趋势延续型偏强,趋势延续型偏强，不属于启动识别对象。,2,1,False,False,True,True,10,东材科技、上纬新材、圣泉集团、斯迪克、金发科技、佛塑科技、嘉德利、平安电工、蓝晓科技、国恩股份,东材科技 +5.14%、上纬新材 +9.18%、圣泉集团 +1.40%、斯迪克 +0.35%、金发科技 +3.34%、佛塑科技 +0.99%、嘉德利 +4.60%、平安电工 +6.60%、蓝晓科技 +3.61%、国恩股份 +1.24%,5,东材科技,5.1389,True,True,True,-0.01475295755045214,5,7,0.5,0.7,False,True,True,True,3722786.0,3682796937.5763597,0.0010108583403053324,0.6827309236947792,-0.00015663439953325664,拥挤正常,吸筹率未进入明显拥挤区间。
电力设备,801733.SI,其他电源设备Ⅱ,20260630,7275.6296,趋势延续对象,趋势延续型偏强,趋势延续型偏强，不属于启动识别对象。,2,2,False,False,True,False,6,上海电气、东方电气、麦格米特、中国动力、海博思创、欧陆通,上海电气 -1.13%、东方电气 -0.69%、麦格米特 +3.63%、中国动力 +5.57%、海博思创 +1.82%、欧陆通 +3.87%,2,上海电气,-1.1299,False,False,False,-0.03181189488243441,3,5,0.5,0.8333333333333334,False,True,True,True,2894208.0,3682796937.5763597,0.0007858722729102386,0.28112449799196787,5.9805735342996036e-05,拥挤正常,吸筹率未进入明显拥挤区间。
电子,801082.SI,其他电子Ⅱ,20260630,5915.5261,趋势延续对象,趋势延续型偏强,趋势延续型偏强，不属于启动识别对象。,3,1,False,False,True,True,8,香农芯创、洁美科技、旭光电子、深圳华强、瑞可达、沃尔核材、中电港、英唐智控,香农芯创 +1.35%、洁美科技 -4.06%、旭光电子 +5.60%、深圳华强 +7.14%、瑞可达 +6.80%、沃尔核材 +8.10%、中电港 +7.08%、英唐智控 +2.09%,7,香农芯创,1.3514,True,True,True,0.05816373320165069,5,7,0.625,0.875,False,True,True,True,3663595.0,3682796937.5763597,0.0009947860449810745,0.6506024096385542,-0.0003195497647763242,拥挤正常,吸筹率未进入明显拥挤区间。
建筑装饰,801726.SI,工程咨询服务Ⅱ,20260630,2253.0743,趋势延续对象,趋势延续型偏强,趋势延续型偏强，不属于启动识别对象。,3,1,True,True,True,True,10,太极实业、华建集团、中交设计、中国瑞林、深城交、杰恩股份、矩阵股份、华图山鼎、地铁设计、苏交科,太极实业 +0.83%、华建集团 +1.59%、中交设计 -2.63%、中国瑞林 +4.07%、深城交 +1.37%、杰恩股份 +0.45%、矩阵股份 +15.93%、华图山鼎 +1.09%、地铁设计 -2.62%、苏交科 +0.00%,3,太极实业,0.8293,True,True,True,0.3948374760994262,5,4,0.5,0.4,True,True,True,True,1727493.0,3682796937.5763597,0.00046907093420601656,0.9558232931726908,0.0001777843719645927,过热预警,吸筹率处于高分位，追高容错率下降。
电力设备,801737.SI,电池,20260630,38520.8596,启动识别对象,观察中,观察中（偏强），已有局部转强线索，但条件不完整。,0,2,False,False,True,True,7,宁德时代、亿纬锂能、铜冠铜箔、天赐材料、德福科技、天华新能、新宙邦,宁德时代 +0.17%、亿纬锂能 +0.67%、铜冠铜箔 +2.73%、天赐材料 +1.02%、德福科技 +3.16%、天华新能 +7.58%、新宙邦 +10.50%,2,宁德时代,0.1657,False,True,True,0.0012738528954676642,4,7,0.5714285714285714,1.0,False,True,True,True,11992425.0,3682796937.5763597,0.0032563362040515294,0.40562248995983935,-0.0003531876423096339,拥挤正常,吸筹率未进入明显拥挤区间。
非银金融,801193.SI,证券Ⅱ,20260630,32784.0526,启动识别对象,观察中,观察中（偏强），已有局部转强线索，但条件不完整。,0,1,False,False,False,False,10,中信证券、东方财富、国泰海通、中信建投、华泰证券、招商证券、广发证券、中金公司、中国银河、申万宏源,中信证券 +0.84%、东方财富 +1.39%、国泰海通 +0.39%、中信建投 -1.32%、华泰证券 -1.15%、招商证券 -0.47%、广发证券 +0.60%、中金公司 -0.14%、中国银河 -0.16%、申万宏源 -1.35%,0,中信证券,0.8424,True,True,True,0.014477401129943557,8,6,0.8,0.6,True,True,True,True,9292870.0,3682796937.5763597,0.0025233185965761167,0.7871485943775101,-0.00035540389582593666,拥挤正常,吸筹率未进入明显拥挤区间。
汽车,801093.SI,汽车零部件,20260630,24379.7252,启动识别对象,观察中,观察中（偏强），已有局部转强线索，但条件不完整。,0,1,False,False,True,False,10,潍柴动力、福耀玻璃、拓普集团、华域汽车、万向钱潮、银轮股份、联合动力、中策橡胶、赛轮轮胎、新泉股份,潍柴动力 +4.05%、福耀玻璃 -3.28%、拓普集团 +7.77%、华域汽车 -3.00%、万向钱潮 +3.36%、银轮股份 +6.87%、联合动力 +1.35%、中策橡胶 -1.30%、赛轮轮胎 -3.27%、新泉股份 +4.31%,2,潍柴动力,4.0473,False,True,True,-0.09347970725216226,1,2,0.1,0.2,False,True,True,True,6319132.0,3682796937.5763597,0.0017158513236297536,0.008032128514056224,-6.72719895093894e-05,拥挤正常,吸筹率未进入明显拥挤区间。
