industry_code,industry_name,l1_name,latest_date,close,pct_change,amount,float_mv,float_mv_yi,total_mv,total_mv_yi,passes_total_mv_gate
801082.SI,其他电子Ⅱ,电子,20260602,19296.49,2.63,3330898.0,26167752.0,2616.7752,48890967.0,4889.0967,True
801991.SI,航空机场,交通运输,20260602,2545.06,-1.66,502860.0,17997103.0,1799.7103,48694709.0,4869.4709,True
801744.SI,航海装备Ⅱ,国防军工,20260602,3219.38,-1.07,544510.0,25709906.0,2570.9906,48392539.0,4839.2539,True
801017.SI,养殖业,农林牧渔,20260602,2563.31,-2.57,575017.0,26015084.0,2601.5084,48264033.0,4826.4033,True
801127.SI,饮料乳品,食品饮料,20260602,7299.24,-1.02,528899.0,26451097.0,2645.1097,45208515.0,4520.8515,True
801736.SI,风电设备,电力设备,20260602,2775.6,-2.09,1174043.0,23918526.0,2391.8526,44523088.0,4452.3088,True
801741.SI,航天装备Ⅱ,国防军工,20260602,30386.76,0.14,768243.0,13350541.0,1335.0541,44294462.0,4429.4462,True
801724.SI,专业工程,建筑装饰,20260602,1923.53,-1.11,755843.0,17707316.0,1770.7316,41670210.0,4167.021,True
801051.SI,金属新材料,有色金属,20260602,10641.08,2.9,1415385.0,20167311.0,2016.7311,40776157.0,4077.6157,True
801076.SI,轨交设备Ⅱ,机械设备,20260602,5693.23,-0.91,490288.0,14595770.0,1459.577,38835054.0,3883.5054,True
801116.SI,家电零部件Ⅱ,家用电器,20260602,7656.74,0.56,1082497.0,18998279.0,1899.8279,36242833.0,3624.2833,True
801731.SI,电机Ⅱ,电力设备,20260602,14973.19,-0.25,1027789.0,15248590.0,1524.859,33705128.0,3370.5128,True
801132.SI,服装家纺,纺织服饰,20260602,1584.6,-0.55,677791.0,13720431.0,1372.0431,33240443.0,3324.0443,True
801129.SI,调味发酵品Ⅱ,食品饮料,20260602,6684.91,-2.01,525469.0,12455031.0,1245.5031,32922648.0,3292.2648,True
801765.SI,广告营销,传媒,20260602,2902.5,-3.95,2216556.0,22638526.0,2263.8526,31224330.0,3122.433,True
801096.SI,商用车,汽车,20260602,8031.83,-0.25,465645.0,15287772.0,1528.7772,29974714.0,2997.4714,True
801154.SI,医药商业,医药生物,20260602,4638.64,-1.0,339924.0,11723176.0,1172.3176,29935265.0,2993.5265,True
801032.SI,化学纤维,基础化工,20260602,4811.36,-0.29,580863.0,10777243.0,1077.7243,28570491.0,2857.0491,True
801163.SI,燃气Ⅱ,公用事业,20260602,3285.6,-1.52,468681.0,10945817.0,1094.5817,28546719.0,2854.6719,True
801721.SI,房屋建设Ⅱ,建筑装饰,20260602,3078.49,-0.71,228255.0,8099750.0,809.975,28059475.0,2805.9475,True
801713.SI,装修建材,建筑材料,20260602,5164.54,-1.73,680485.0,14073152.0,1407.3152,27754368.0,2775.4368,True
801012.SI,农产品加工,农林牧渔,20260602,2228.51,-1.62,252828.0,7451999.0,745.1999,27729070.0,2772.907,True
801141.SI,包装印刷,轻工制造,20260602,3093.73,-0.53,766279.0,13695075.0,1369.5075,27190411.0,2719.0411,True
801769.SI,出版,传媒,20260602,1538.46,-2.64,479584.0,8771961.0,877.1961,26558057.0,2655.8057,True
801785.SI,农商行Ⅱ,银行,20260602,787.52,0.71,173634.0,15038094.0,1503.8094,24792512.0,2479.2512,True
801711.SI,水泥,建筑材料,20260602,4336.44,-1.4,262899.0,10891294.0,1089.1294,24053387.0,2405.3387,True
801124.SI,食品加工,食品饮料,20260602,13221.07,-2.07,338610.0,10025789.0,1002.5789,23341092.0,2334.1092,True
801218.SI,专业服务,社会服务,20260602,6152.54,-0.42,430191.0,10168274.0,1016.8274,21732490.0,2173.249,True
801726.SI,工程咨询服务Ⅱ,建筑装饰,20260602,2145.28,0.22,893850.0,9629304.0,962.9304,21301226.0,2130.1226,True
801113.SI,小家电,家用电器,20260602,4251.5,-1.64,231164.0,7111387.0,711.1387,20607923.0,2060.7923,True
801766.SI,影视院线,传媒,20260602,1180.18,-4.18,781602.0,10038843.0,1003.8843,20154993.0,2015.4993,True
801962.SI,油服工程,石油石化,20260602,2450.18,-1.6,326963.0,6651919.0,665.1919,19927449.0,1992.7449,False
801126.SI,非白酒,食品饮料,20260602,3792.21,-1.57,318569.0,7639343.0,763.9343,19614520.0,1961.452,False
801881.SI,摩托车及其他,汽车,20260602,3321.3,-0.21,241853.0,8352126.0,835.2126,19297588.0,1929.7588,False
801131.SI,纺织制造,纺织服饰,20260602,1737.31,-2.18,351050.0,7456315.0,745.6315,19295751.0,1929.5751,False
801043.SI,冶钢原料,钢铁,20260602,3570.09,-0.54,214230.0,6600048.0,660.0048,18942691.0,1894.2691,False
801231.SI,综合Ⅱ,综合,20260602,4610.01,-0.82,487550.0,9195146.0,919.5146,18657269.0,1865.7269,False
801045.SI,特钢Ⅱ,钢铁,20260602,4023.18,-2.3,218118.0,6864034.0,686.4034,18222578.0,1822.2578,False
801972.SI,环保设备Ⅱ,环保,20260602,2439.6,-0.15,646801.0,9435922.0,943.5922,18141543.0,1814.1543,False
801014.SI,饲料,农林牧渔,20260602,3647.86,-2.69,218489.0,8682585.0,868.2585,17700677.0,1770.0677,False
801112.SI,黑色家电,家用电器,20260602,2186.93,0.18,306146.0,9252516.0,925.2516,17058470.0,1705.847,False
801143.SI,造纸,轻工制造,20260602,2253.35,-1.6,388277.0,8346185.0,834.6185,16225783.0,1622.5783,False
801016.SI,种植业,农林牧渔,20260602,2502.93,-1.83,296150.0,7823888.0,782.3888,15725505.0,1572.5505,False
801995.SI,电视广播Ⅱ,传媒,20260602,1116.2,-1.57,327384.0,7155434.0,715.5434,15429155.0,1542.9155,False
801743.SI,地面兵装Ⅱ,国防军工,20260602,17236.71,-0.91,411503.0,7348185.0,734.8185,15057024.0,1505.7024,False
801202.SI,贸易Ⅱ,商贸零售,20260602,4793.9,-0.32,210429.0,4610272.0,461.0272,14773782.0,1477.3782,False
801039.SI,非金属材料Ⅱ,基础化工,20260602,7870.93,2.25,622395.0,5813365.0,581.3365,13672545.0,1367.2545,False
801767.SI,数字媒体,传媒,20260602,1779.76,-1.72,698494.0,6210848.0,621.0848,13598110.0,1359.811,False
801128.SI,休闲食品,食品饮料,20260602,1842.52,-1.53,244755.0,5654541.0,565.4541,13548555.0,1354.8555,False
801993.SI,旅游及景区,社会服务,20260602,2043.71,-1.41,268999.0,6735268.0,673.5268,13358312.0,1335.8312,False
801722.SI,装修装饰Ⅱ,建筑装饰,20260602,4699.82,-1.24,712952.0,5966868.0,596.6868,12622416.0,1262.2416,False
801206.SI,互联网电商,商贸零售,20260602,10847.79,-2.17,356068.0,6493394.0,649.3394,12238361.0,1223.8361,False
801982.SI,化妆品,美容护理,20260602,6407.78,-3.2,226454.0,4640925.0,464.0925,12010587.0,1201.0587,False
801037.SI,橡胶,基础化工,20260602,5010.26,-0.52,286133.0,5632100.0,563.21,11569605.0,1156.9605,False
801145.SI,文娱用品,轻工制造,20260602,1895.9,-1.75,314246.0,4914357.0,491.4357,11375670.0,1137.567,False
801133.SI,饰品,纺织服饰,20260602,1408.96,-1.5,132918.0,4385330.0,438.533,10680714.0,1068.0714,False
801115.SI,照明设备Ⅱ,家用电器,20260602,5113.68,1.73,191622.0,3057470.0,305.747,9557520.0,955.752,False
801994.SI,教育,社会服务,20260602,1877.14,-2.33,168352.0,4810646.0,481.0646,7578556.0,757.8556,False
801981.SI,个护用品,美容护理,20260602,1277.0,-2.18,81546.0,2544695.0,254.4695,7178395.0,717.8395,False
801092.SI,汽车服务,汽车,20260602,492.79,-0.35,102262.0,2774888.0,277.4888,6188975.0,618.8975,False
801219.SI,酒店餐饮,社会服务,20260602,1592.95,-1.4,78549.0,2727809.0,272.7809,5799041.0,579.9041,False
801018.SI,动物保健Ⅱ,农林牧渔,20260602,4088.07,-2.06,76521.0,3336356.0,333.6356,5649013.0,564.9013,False
801952.SI,焦炭Ⅱ,煤炭,20260602,1335.72,-0.39,196569.0,2913499.0,291.3499,5604787.0,560.4787,False
801114.SI,厨卫电器,家用电器,20260602,8459.38,-1.26,59635.0,2182001.0,218.2001,5279784.0,527.9784,False
801183.SI,房地产服务,房地产,20260602,845.14,-2.2,108660.0,2385291.0,238.5291,5216181.0,521.6181,False
801204.SI,专业连锁Ⅱ,商贸零售,20260602,4008.18,-2.86,104521.0,2903027.0,290.3027,5116300.0,511.63,False
801015.SI,渔业,农林牧渔,20260602,707.16,-3.24,38759.0,1025951.0,102.5951,1696515.0,169.6515,False
801011.SI,林业Ⅱ,农林牧渔,,,,,,,,,False
801019.SI,农业综合Ⅱ,农林牧渔,,,,,,,,,False
801117.SI,其他家电Ⅱ,家用电器,,,,,,,,,False
801207.SI,旅游零售Ⅱ,商贸零售,,,,,,,,,False
801216.SI,体育Ⅱ,社会服务,,,,,,,,,False
801217.SI,本地生活服务Ⅱ,社会服务,,,,,,,,,False
801768.SI,社交Ⅱ,传媒,,,,,,,,,False
801786.SI,其他银行Ⅱ,银行,,,,,,,,,False
801961.SI,油气开采Ⅱ,石油石化,,,,,,,,,False
801983.SI,医疗美容,美容护理,,,,,,,,,False
