theme_code,sw_code,sw_name,l1_name,corr_daily_ret,common_days,final_label,crowding_label,total_mv_yi,leader_top1_name
512890.SH,801784.SI,城商行Ⅱ,银行,0.8274892992183979,601,未启动,拥挤正常,11516.6083,江苏银行
512890.SH,801785.SI,农商行Ⅱ,银行,0.8215356162921353,601,未启动,拥挤正常,2216.0646,沪农商行
512890.SH,801179.SI,铁路公路,交通运输,0.7709492391443061,601,观察中,拥挤正常,6916.9598,京沪高铁
512890.SH,801783.SI,股份制银行Ⅱ,银行,0.7622480581512623,601,未启动,拥挤正常,22815.6286,招商银行
512890.SH,801782.SI,国有大型银行Ⅱ,银行,0.6826243854180261,601,未启动,拥挤正常,62234.0995,工商银行
512890.SH,801721.SI,房屋建设Ⅱ,建筑装饰,0.6578760063551703,601,未启动,拥挤正常,2505.6597,中国建筑
512890.SH,801161.SI,电力,公用事业,0.6570909351289671,601,观察中,拥挤正常,33959.4438,长江电力
512890.SH,801963.SI,炼化及贸易,石油石化,0.6546167630552969,601,未启动,拥挤正常,24380.22,中国石油
512890.SH,801723.SI,基础建设,建筑装饰,0.6430939733775078,601,未启动,拥挤正常,7238.3989,中国能建
512890.SH,801992.SI,航运港口,交通运输,0.6355677897419317,601,未启动,拥挤正常,10000.9617,中远海控
512890.SH,801951.SI,煤炭开采,煤炭,0.628809832148614,601,未启动,拥挤正常,16794.1845,中国神华
512890.SH,801076.SI,轨交设备Ⅱ,机械设备,0.6035939519504555,601,观察中,拥挤正常,3822.3759,中国中车
512890.SH,801178.SI,物流,交通运输,0.5797079205347828,601,观察中,拥挤正常,5918.8756,顺丰控股
512890.SH,801194.SI,保险Ⅱ,非银金融,0.5682770787387286,601,观察中,拥挤偏高,19345.1707,中国人寿
512890.SH,801044.SI,普钢,钢铁,0.5615793737923317,601,观察中,拥挤正常,4841.8273,宝钢股份
512890.SH,801163.SI,燃气Ⅱ,公用事业,0.5512566150213257,601,观察中,拥挤正常,2612.1741,新奥股份
512890.SH,801155.SI,中药Ⅱ,医药生物,0.5449643187987975,601,观察中,拥挤正常,7236.2227,云南白药
512890.SH,801124.SI,食品加工,食品饮料,0.5396210148899394,601,未启动,拥挤正常,2159.6365,双汇发展
512890.SH,801711.SI,水泥,建筑材料,0.5333485065115373,601,观察中,拥挤正常,2158.588,海螺水泥
512890.SH,801724.SI,专业工程,建筑装饰,0.5311612182073547,601,观察中,拥挤正常,4403.6112,亚翔集成
512890.SH,801126.SI,非白酒,,0.5298081331977249,601,,,,
512890.SH,801012.SI,农产品加工,农林牧渔,0.5264896839540264,601,观察中,拥挤正常,2528.5172,金龙鱼
512890.SH,801132.SI,服装家纺,纺织服饰,0.5222933455744312,601,观察中,拥挤正常,3165.3716,雅戈尔
512890.SH,801154.SI,医药商业,医药生物,0.5184555650419591,601,观察中,拥挤正常,2737.7703,上海医药
512890.SH,801971.SI,环境治理,环保,0.5137532848462706,601,观察中,拥挤正常,7358.8992,电投水电
512890.SH,801111.SI,白色家电,家用电器,0.511950055833504,601,未启动,拥挤正常,9411.4601,美的集团
512890.SH,801143.SI,造纸,,0.5062794778292895,601,,,,
512890.SH,801127.SI,饮料乳品,食品饮料,0.5025706715420687,601,观察中,拥挤正常,4088.5753,伊利股份
512890.SH,801045.SI,特钢Ⅱ,,0.4855600676880566,601,,,,
512890.SH,801142.SI,家居用品,轻工制造,0.47344689166692555,601,未启动,拥挤正常,4526.0626,公牛集团
512890.SH,801981.SI,个护用品,,0.4716876952566752,601,,,,
512890.SH,801033.SI,化学原料,基础化工,0.4700682462930162,601,观察中,拥挤正常,8039.0885,宝丰能源
