theme_code,sw_code,sw_name,l1_name,corr_daily_ret,common_days,first_common_date,latest_common_date,final_label,crowding_label,total_mv_yi,leader_top1_name
159996.SZ,801113.SI,小家电,,0.7918479501173392,611,20240102,20260714,,,,
159996.SZ,801093.SI,汽车零部件,汽车,0.7858601776640216,611,20240102,20260714,未启动,拥挤正常,23619.578,潍柴动力
159996.SZ,801074.SI,专用设备,机械设备,0.7559901630210585,611,20240102,20260714,观察中,拥挤正常,16667.8657,大族数控
159996.SZ,801078.SI,自动化设备,机械设备,0.7436260361819717,611,20240102,20260714,趋势延续型偏强,拥挤偏高,13830.0337,汇川技术
159996.SZ,801116.SI,家电零部件Ⅱ,家用电器,0.7390511482498444,611,20240102,20260714,未启动,拥挤正常,3243.4356,三花智控
159996.SZ,801072.SI,通用设备,机械设备,0.7294242196598396,611,20240102,20260714,观察中,拥挤正常,22969.9402,联讯仪器
159996.SZ,801114.SI,厨卫电器,,0.7236486972715848,611,20240102,20260714,,,,
159996.SZ,801112.SI,黑色家电,,0.7209548982241416,611,20240102,20260714,,,,
159996.SZ,801085.SI,消费电子,电子,0.7036637180750491,611,20240102,20260714,观察中,拥挤正常,36010.8137,工业富联
159996.SZ,801153.SI,医疗器械,医药生物,0.7011329653512801,611,20240102,20260714,观察中,拥挤正常,12240.0311,迈瑞医疗
159996.SZ,801218.SI,专业服务,,0.7002621432290003,611,20240102,20260714,,,,
159996.SZ,801142.SI,家居用品,轻工制造,0.6997922458979466,611,20240102,20260714,未启动,拥挤正常,4364.2119,公牛集团
159996.SZ,801101.SI,计算机设备,计算机,0.6907949944985866,611,20240102,20260714,观察中,拥挤正常,12560.6278,海康威视
159996.SZ,801731.SI,电机Ⅱ,电力设备,0.6865365048728036,611,20240102,20260714,未启动,拥挤正常,2825.1568,卧龙电驱
159996.SZ,801111.SI,白色家电,家用电器,0.68501109521298,611,20240102,20260714,观察中,拥挤正常,9769.0808,美的集团
159996.SZ,801036.SI,塑料,基础化工,0.6829182686771134,611,20240102,20260714,观察中,拥挤正常,7208.9751,上纬新材
159996.SZ,801084.SI,光学光电子,电子,0.6727000690560083,611,20240102,20260714,趋势延续型偏强,拥挤偏高,16649.4627,京东方A
159996.SZ,801972.SI,环保设备Ⅱ,,0.6720405511889783,611,20240102,20260714,,,,
159996.SZ,801733.SI,其他电源设备Ⅱ,电力设备,0.666714263755376,611,20240102,20260714,观察中,拥挤正常,6630.1465,上海电气
159996.SZ,801034.SI,化学制品,基础化工,0.6659228627032286,611,20240102,20260714,观察中,拥挤正常,16979.7652,万华化学
159996.SZ,801724.SI,专业工程,建筑装饰,0.6617327444920706,611,20240102,20260714,观察中,拥挤正常,3997.2159,中国中冶
159996.SZ,801141.SI,包装印刷,轻工制造,0.6597011112496252,611,20240102,20260714,观察中,拥挤正常,2365.6513,裕同科技
159996.SZ,801131.SI,纺织制造,,0.6557978026371479,611,20240102,20260714,,,,
159996.SZ,801132.SI,服装家纺,纺织服饰,0.6531567310772232,611,20240102,20260714,观察中,拥挤正常,3090.9885,雅戈尔
159996.SZ,801104.SI,软件开发,计算机,0.6518326007348385,611,20240102,20260714,观察中,拥挤正常,15490.0264,同花顺
159996.SZ,801143.SI,造纸,,0.6493716523708086,611,20240102,20260714,,,,
159996.SZ,801077.SI,工程机械,机械设备,0.6446308031346701,611,20240102,20260714,未启动,拥挤正常,6999.6011,三一重工
159996.SZ,801082.SI,其他电子Ⅱ,电子,0.6432380722686345,611,20240102,20260714,趋势延续型偏强,拥挤正常,4909.4794,香农芯创
159996.SZ,801982.SI,化妆品,,0.6420195364006744,611,20240102,20260714,,,,
159996.SZ,801037.SI,橡胶,,0.6414293344614935,611,20240102,20260714,,,,
159996.SZ,801076.SI,轨交设备Ⅱ,机械设备,0.6405301028992412,611,20240102,20260714,未启动,拥挤正常,3505.4077,中国中车
159996.SZ,801738.SI,电网设备,电力设备,0.6384854976681575,611,20240102,20260714,未启动,拥挤正常,15633.7955,国电南瑞
159996.SZ,801971.SI,环境治理,环保,0.638268530956934,611,20240102,20260714,观察中,拥挤正常,6599.6799,电投水电
159996.SZ,801045.SI,特钢Ⅱ,,0.6361987802152114,611,20240102,20260714,,,,
159996.SZ,801204.SI,专业连锁Ⅱ,,0.6336668461402714,611,20240102,20260714,,,,
159996.SZ,801178.SI,物流,交通运输,0.6333626891722991,611,20240102,20260714,未启动,拥挤正常,5991.203,顺丰控股
159996.SZ,801103.SI,IT服务Ⅱ,计算机,0.6309789278602346,611,20240102,20260714,观察中,拥挤正常,12736.2359,紫光股份
159996.SZ,801115.SI,照明设备Ⅱ,,0.6300899403631026,611,20240102,20260714,,,,
159996.SZ,801881.SI,摩托车及其他,,0.6276891574841704,611,20240102,20260714,,,,
159996.SZ,801092.SI,汽车服务,,0.6274598645373775,611,20240102,20260714,,,,
159996.SZ,801193.SI,证券Ⅱ,非银金融,0.6272322972090945,611,20240102,20260714,早期启动,拥挤正常,32209.174,中信证券
159996.SZ,801191.SI,多元金融,非银金融,0.6223373078134204,611,20240102,20260714,未启动,拥挤正常,4387.0679,电投产融
