theme_code,sw_code,sw_name,l1_name,corr_daily_ret,common_days,final_label,crowding_label,total_mv_yi,leader_top1_name
512880.SH,801193.SI,证券Ⅱ,非银金融,0.995167917723927,594,未启动,拥挤正常,30756.1174,中信证券
512880.SH,801191.SI,多元金融,非银金融,0.8092069524989276,594,未启动,拥挤正常,5648.2168,电投产融
512880.SH,801104.SI,软件开发,计算机,0.7452405680372016,594,观察中,拥挤正常,16442.3705,同花顺
512880.SH,801153.SI,医疗器械,医药生物,0.6944005902555909,594,未启动,拥挤正常,12064.6167,迈瑞医疗
512880.SH,801101.SI,计算机设备,计算机,0.6919298404094409,594,观察中,拥挤正常,12879.951,海康威视
512880.SH,801152.SI,生物制品,医药生物,0.6878060177621145,594,未启动,拥挤正常,6588.0344,荣昌生物
512880.SH,801194.SI,保险Ⅱ,非银金融,0.6806345676294377,594,观察中,拥挤偏高,17894.3843,中国人寿
512880.SH,801218.SI,专业服务,社会服务,0.6692176136263261,594,观察中,拥挤正常,2278.4603,胜科纳米
512880.SH,801156.SI,医疗服务,医药生物,0.6616458733965609,594,观察中,拥挤正常,7908.5044,药明康德
512880.SH,801034.SI,化学制品,基础化工,0.6578988509674157,594,观察中,拥挤偏高,18417.9576,万华化学
512880.SH,801129.SI,调味发酵品Ⅱ,食品饮料,0.6526259703458451,594,观察中,拥挤偏高,3168.6113,海天味业
512880.SH,801078.SI,自动化设备,机械设备,0.6492362564443532,594,趋势延续型偏强,过热预警,16215.5312,汇川技术
512880.SH,801103.SI,IT服务Ⅱ,计算机,0.6442592999276493,594,观察中,拥挤正常,13611.9506,南网数字
512880.SH,801074.SI,专用设备,机械设备,0.6439514252205675,594,趋势延续型偏强,拥挤正常,18282.2023,杰瑞股份
512880.SH,801724.SI,专业工程,建筑装饰,0.6436389483809729,594,观察中,拥挤正常,4363.8171,中国中冶
512880.SH,801181.SI,房地产开发,房地产,0.637252117615185,594,未启动,拥挤正常,9481.4015,招商蛇口
512880.SH,801737.SI,电池,电力设备,0.6356826328788012,594,观察中,拥挤正常,39602.4747,宁德时代
512880.SH,801155.SI,中药Ⅱ,医药生物,0.6354971989286218,594,未启动,拥挤正常,7266.7108,云南白药
512880.SH,801971.SI,环境治理,环保,0.6343758608889738,594,未启动,拥挤正常,7619.2241,电投水电
512880.SH,801982.SI,化妆品,,0.6339453485819091,594,,,,
512880.SH,801093.SI,汽车零部件,汽车,0.6338745616184049,594,观察中,拥挤正常,26120.5969,潍柴动力
512880.SH,801081.SI,半导体,电子,0.6296095007258798,594,趋势延续型偏强,过热预警,118541.6491,中芯国际
512880.SH,801084.SI,光学光电子,电子,0.6151067388211738,594,趋势延续型偏强,过热预警,15957.9547,京东方A
512880.SH,801178.SI,物流,交通运输,0.6147087597460786,594,未启动,拥挤正常,5831.6042,顺丰控股
512880.SH,801713.SI,装修建材,建筑材料,0.6130428104542621,594,未启动,拥挤正常,2660.059,北新建材
512880.SH,801036.SI,塑料,基础化工,0.6128614811281655,594,趋势延续型偏强,拥挤偏高,8677.1277,东材科技
512880.SH,801124.SI,食品加工,食品饮料,0.6122437771667275,594,未启动,拥挤正常,2186.6547,双汇发展
512880.SH,801072.SI,通用设备,机械设备,0.6110505543864816,594,趋势延续型偏强,拥挤正常,25996.954,鼎泰高科
512880.SH,801045.SI,特钢Ⅱ,,0.608141213208653,594,,,,
512880.SH,801972.SI,环保设备Ⅱ,,0.6076639838667567,594,,,,
512880.SH,801012.SI,农产品加工,农林牧渔,0.6071065628913004,594,未启动,拥挤正常,2608.4423,金龙鱼
512880.SH,801991.SI,航空机场,交通运输,0.5951840315043644,594,未启动,拥挤正常,4864.1275,中国国航
512880.SH,801142.SI,家居用品,轻工制造,0.5947003609815726,594,未启动,拥挤正常,4638.8267,公牛集团
512880.SH,801095.SI,乘用车,汽车,0.5917620453549235,594,未启动,拥挤正常,9673.2071,比亚迪
512880.SH,801037.SI,橡胶,,0.5902818565103767,594,,,,
512880.SH,801745.SI,军工电子Ⅱ,国防军工,0.5902733079476876,594,观察中,拥挤正常,11880.107,中航成飞
512880.SH,801735.SI,光伏设备,电力设备,0.5892859768342988,594,观察中,拥挤正常,16937.7071,阳光电源
512880.SH,801764.SI,游戏Ⅱ,传媒,0.588820177130068,594,观察中,拥挤正常,4578.8044,世纪华通
512880.SH,801086.SI,电子化学品Ⅱ,电子,0.5883314499922366,594,趋势延续型偏强,过热预警,8995.394,国瓷材料
512880.SH,801151.SI,化学制药,医药生物,0.5874070686492382,594,观察中,拥挤正常,17876.212,恒瑞医药
512880.SH,801742.SI,航空装备Ⅱ,国防军工,0.5863780070766481,594,未启动,拥挤正常,9951.9644,中航沈飞
512880.SH,801141.SI,包装印刷,轻工制造,0.5836146660079834,594,未启动,拥挤正常,2701.0523,裕同科技
512880.SH,801204.SI,专业连锁Ⅱ,,0.5835946085734607,594,,,,
512880.SH,801032.SI,化学纤维,基础化工,0.5830126420227384,594,未启动,拥挤正常,2934.0157,华峰化学
512880.SH,801132.SI,服装家纺,纺织服饰,0.582324301529053,594,未启动,拥挤正常,3158.359,雅戈尔
512880.SH,801082.SI,其他电子Ⅱ,电子,0.5807255622817495,594,趋势延续型偏强,过热预警,5675.455,香农芯创
512880.SH,801112.SI,黑色家电,,0.5795807001000408,594,,,,
512880.SH,801085.SI,消费电子,电子,0.5793604940254719,594,趋势延续型偏强,过热预警,41927.2158,工业富联
512880.SH,801143.SI,造纸,,0.5790433129329579,594,,,,
512880.SH,801154.SI,医药商业,医药生物,0.578161348447978,594,未启动,拥挤正常,2823.324,上海医药
512880.SH,801043.SI,冶钢原料,,0.5753732613850988,594,,,,
512880.SH,801092.SI,汽车服务,,0.5748987463006043,594,,,,
512880.SH,801733.SI,其他电源设备Ⅱ,电力设备,0.5734702713290287,594,趋势延续型偏强,拥挤正常,7624.7519,上海电气
