theme_code,sw_code,sw_name,l1_name,corr_daily_ret,common_days,first_common_date,latest_common_date,final_label,crowding_label,total_mv_yi,leader_top1_name
515230.SH,801104.SI,软件开发,计算机,0.9580829904948311,611,20240102,20260714,观察中,拥挤正常,15490.0264,同花顺
515230.SH,801103.SI,IT服务Ⅱ,计算机,0.9125812613652918,611,20240102,20260714,观察中,拥挤正常,12736.2359,紫光股份
515230.SH,801101.SI,计算机设备,计算机,0.8508945071054699,611,20240102,20260714,观察中,拥挤正常,12560.6278,海康威视
515230.SH,801767.SI,数字媒体,,0.7594866928686879,611,20240102,20260714,,,,
515230.SH,801745.SI,军工电子Ⅱ,国防军工,0.7377458759286483,611,20240102,20260714,观察中,拥挤正常,10544.4895,中航成飞
515230.SH,801764.SI,游戏Ⅱ,传媒,0.7327172788514791,611,20240102,20260714,未启动,拥挤正常,4662.6539,世纪华通
515230.SH,801765.SI,广告营销,传媒,0.7185530806530099,611,20240102,20260714,未启动,拥挤正常,2472.0073,分众传媒
515230.SH,801072.SI,通用设备,机械设备,0.7109961310814518,611,20240102,20260714,观察中,拥挤正常,22969.9402,联讯仪器
515230.SH,801193.SI,证券Ⅱ,非银金融,0.7106065450020309,611,20240102,20260714,早期启动,拥挤正常,32209.174,中信证券
515230.SH,801078.SI,自动化设备,机械设备,0.7103979835429627,611,20240102,20260714,趋势延续型偏强,拥挤偏高,13830.0337,汇川技术
515230.SH,801223.SI,通信服务,通信,0.7100252226351342,611,20240102,20260714,未启动,拥挤正常,9950.158,中国移动
515230.SH,801081.SI,半导体,电子,0.7091997088402522,611,20240102,20260714,趋势延续型强势,过热退潮,124663.9789,中芯国际
515230.SH,801191.SI,多元金融,非银金融,0.7034890584698562,611,20240102,20260714,未启动,拥挤正常,4387.0679,电投产融
515230.SH,801082.SI,其他电子Ⅱ,电子,0.6994829735570619,611,20240102,20260714,趋势延续型偏强,拥挤正常,4909.4794,香农芯创
515230.SH,801084.SI,光学光电子,电子,0.6931066223198439,611,20240102,20260714,趋势延续型偏强,拥挤偏高,16649.4627,京东方A
515230.SH,801206.SI,互联网电商,,0.6928001821080076,611,20240102,20260714,,,,
515230.SH,801218.SI,专业服务,,0.6914964952970163,611,20240102,20260714,,,,
515230.SH,801074.SI,专用设备,机械设备,0.6897093176696439,611,20240102,20260714,观察中,拥挤正常,16667.8657,大族数控
515230.SH,801995.SI,电视广播Ⅱ,,0.6839621343702206,611,20240102,20260714,,,,
515230.SH,801112.SI,黑色家电,,0.6834952643317629,611,20240102,20260714,,,,
515230.SH,801036.SI,塑料,基础化工,0.6758522382337505,611,20240102,20260714,观察中,拥挤正常,7208.9751,上纬新材
515230.SH,801093.SI,汽车零部件,汽车,0.6742072749248506,611,20240102,20260714,未启动,拥挤正常,23619.578,潍柴动力
515230.SH,801742.SI,航空装备Ⅱ,国防军工,0.6727746911970715,611,20240102,20260714,未启动,拥挤正常,8733.2145,中航沈飞
515230.SH,801085.SI,消费电子,电子,0.6637321412246446,611,20240102,20260714,观察中,拥挤正常,36010.8137,工业富联
515230.SH,801731.SI,电机Ⅱ,电力设备,0.6569359730912845,611,20240102,20260714,未启动,拥挤正常,2825.1568,卧龙电驱
515230.SH,801994.SI,教育,,0.6492409832837942,611,20240102,20260714,,,,
515230.SH,801733.SI,其他电源设备Ⅱ,电力设备,0.6471617818103786,611,20240102,20260714,观察中,拥挤正常,6630.1465,上海电气
