theme_code,sw_code,sw_name,l1_name,corr_daily_ret,common_days,final_label,crowding_label,total_mv_yi,leader_top1_name
159928.SZ,801125.SI,白酒Ⅱ,食品饮料,0.912435383718023,601,未启动,拥挤正常,22584.9088,贵州茅台
159928.SZ,801126.SI,非白酒,,0.8359979802791292,601,,,,
159928.SZ,801127.SI,饮料乳品,食品饮料,0.831193290950047,601,观察中,拥挤正常,4126.5797,伊利股份
159928.SZ,801129.SI,调味发酵品Ⅱ,食品饮料,0.8252056787344253,601,未启动,拥挤正常,3223.9777,海天味业
159928.SZ,801124.SI,食品加工,食品饮料,0.7823630148128,601,未启动,拥挤正常,2135.8674,双汇发展
159928.SZ,801017.SI,养殖业,农林牧渔,0.731400873498769,601,未启动,拥挤正常,4431.3344,牧原股份
159928.SZ,801014.SI,饲料,,0.7272801382328127,601,,,,
159928.SZ,801155.SI,中药Ⅱ,医药生物,0.7201431218474406,601,观察中,拥挤正常,7317.5373,云南白药
159928.SZ,801128.SI,休闲食品,,0.6947201900723646,601,,,,
159928.SZ,801982.SI,化妆品,,0.6741120396509078,601,,,,
159928.SZ,801178.SI,物流,交通运输,0.66820352615747,601,观察中,拥挤正常,5970.9031,顺丰控股
159928.SZ,801012.SI,农产品加工,农林牧渔,0.6630285944510645,601,未启动,拥挤正常,2514.7173,金龙鱼
159928.SZ,801713.SI,装修建材,建筑材料,0.6627535094659333,601,未启动,拥挤正常,2381.2803,北新建材
159928.SZ,801153.SI,医疗器械,医药生物,0.6612123454162379,601,观察中,拥挤正常,12074.3649,迈瑞医疗
159928.SZ,801142.SI,家居用品,轻工制造,0.653810117718704,601,未启动,拥挤正常,4499.3589,公牛集团
159928.SZ,801194.SI,保险Ⅱ,非银金融,0.645340501752801,601,未启动,拥挤正常,18927.269,中国人寿
159928.SZ,801991.SI,航空机场,交通运输,0.6400368347134742,601,未启动,拥挤正常,4676.4576,中国国航
159928.SZ,801154.SI,医药商业,医药生物,0.6310901200459211,601,观察中,拥挤正常,2826.5213,上海医药
159928.SZ,801219.SI,酒店餐饮,,0.6301736737402993,601,,,,
159928.SZ,801152.SI,生物制品,医药生物,0.630075173343819,601,观察中,拥挤正常,6509.1486,荣昌生物
159928.SZ,801711.SI,水泥,建筑材料,0.613569261995168,601,未启动,拥挤正常,2121.1605,海螺水泥
159928.SZ,801181.SI,房地产开发,房地产,0.6123212079859195,601,观察中,拥挤正常,8437.5658,招商蛇口
159928.SZ,801193.SI,证券Ⅱ,非银金融,0.6116281715673162,601,早期启动,拥挤正常,32411.4053,中信证券
159928.SZ,801981.SI,个护用品,,0.60424826352384,601,,,,
159928.SZ,801034.SI,化学制品,基础化工,0.5957027747487798,601,观察中,拥挤偏高,17760.6485,万华化学
159928.SZ,801721.SI,房屋建设Ⅱ,建筑装饰,0.5840990326809201,601,观察中,拥挤正常,2580.0019,中国建筑
159928.SZ,801132.SI,服装家纺,纺织服饰,0.5755693566393184,601,观察中,拥挤正常,3115.9989,雅戈尔
159928.SZ,801143.SI,造纸,,0.5750435632660537,601,,,,
159928.SZ,801724.SI,专业工程,建筑装饰,0.5728324402310045,601,观察中,拥挤正常,4024.1507,中国中冶
159928.SZ,801723.SI,基础建设,建筑装饰,0.5725924613495296,601,未启动,拥挤正常,6547.7172,中国能建
159928.SZ,801203.SI,一般零售,商贸零售,0.5704142377853223,601,观察中,拥挤正常,4416.3516,小商品城
159928.SZ,801151.SI,化学制药,医药生物,0.567865574558383,601,观察中,拥挤正常,19678.1778,百济神州
159928.SZ,801114.SI,厨卫电器,,0.5677770186491574,601,,,,
159928.SZ,801218.SI,专业服务,社会服务,0.5649151399683396,601,未启动,拥挤正常,2026.1344,华测检测
159928.SZ,801993.SI,旅游及景区,,0.5563052066077073,601,,,,
159928.SZ,801156.SI,医疗服务,医药生物,0.5482231905140826,601,未启动,拥挤正常,8504.9445,药明康德
159928.SZ,801038.SI,农化制品,基础化工,0.5447501286992538,601,未启动,拥挤正常,8529.0724,盐湖股份
159928.SZ,801191.SI,多元金融,非银金融,0.5397512248549152,601,观察中,拥挤正常,4429.7124,电投产融
159928.SZ,801183.SI,房地产服务,,0.5356239839006648,601,,,,
159928.SZ,801045.SI,特钢Ⅱ,,0.534960278846302,601,,,,
159928.SZ,801018.SI,动物保健Ⅱ,,0.5319891878906509,601,,,,
159928.SZ,801044.SI,普钢,钢铁,0.5288197000107856,601,未启动,拥挤正常,4479.8636,宝钢股份
159928.SZ,801971.SI,环境治理,环保,0.5224047859861487,601,观察中,拥挤正常,6694.1952,电投水电
159928.SZ,801179.SI,铁路公路,交通运输,0.5175526082675609,601,观察中,拥挤正常,7260.9524,京沪高铁
159928.SZ,801095.SI,乘用车,汽车,0.5146977791012716,601,观察中,拥挤正常,9199.1996,比亚迪
159928.SZ,801033.SI,化学原料,基础化工,0.5125858707963181,601,未启动,拥挤正常,7363.6204,宝丰能源
159928.SZ,801737.SI,电池,电力设备,0.510844308271565,601,未启动,拥挤正常,34587.7029,宁德时代
