theme_code,sw_code,sw_name,l1_name,corr_daily_ret,common_days,final_label,crowding_label,total_mv_yi,leader_top1_name
515180.SH,801951.SI,煤炭开采,煤炭,0.7430309055730984,589,未启动,拥挤偏高,20361.8368,中国神华
515180.SH,801963.SI,炼化及贸易,石油石化,0.7329133525572338,589,未启动,拥挤正常,27876.3992,中国石油
515180.SH,801179.SI,铁路公路,交通运输,0.7252606599927969,589,未启动,拥挤正常,7692.1944,京沪高铁
515180.SH,801992.SI,航运港口,交通运输,0.6889717340467981,589,未启动,拥挤正常,10851.7389,中远海控
515180.SH,801723.SI,基础建设,建筑装饰,0.6882770156214666,589,未启动,拥挤正常,7985.2794,中国能建
515180.SH,801044.SI,普钢,钢铁,0.6815172577346789,589,未启动,拥挤正常,5295.5423,宝钢股份
515180.SH,801785.SI,农商行Ⅱ,银行,0.6786804034971556,589,观察中,拥挤正常,2479.2512,沪农商行
515180.SH,801784.SI,城商行Ⅱ,银行,0.6741266987316862,589,观察中,拥挤正常,12405.5979,江苏银行
515180.SH,801721.SI,房屋建设Ⅱ,建筑装饰,0.6689075703587927,589,观察中,拥挤正常,2805.9475,中国建筑
515180.SH,801161.SI,电力,公用事业,0.663282761194439,589,未启动,拥挤偏高,39960.458,长江电力
515180.SH,801178.SI,物流,交通运输,0.6473426853737085,589,未启动,拥挤正常,6400.7789,顺丰控股
515180.SH,801711.SI,水泥,建筑材料,0.6454788219472642,589,未启动,拥挤正常,2405.3387,海螺水泥
515180.SH,801033.SI,化学原料,基础化工,0.6415558157656277,589,观察中,拥挤偏高,7978.5167,宝丰能源
515180.SH,801163.SI,燃气Ⅱ,公用事业,0.6354601617900468,589,观察中,拥挤正常,2854.6719,新奥股份
515180.SH,801076.SI,轨交设备Ⅱ,机械设备,0.6260768293314689,589,未启动,拥挤正常,3883.5054,中国中车
515180.SH,801724.SI,专业工程,建筑装饰,0.6256779959154816,589,未启动,拥挤正常,4167.021,中国中冶
515180.SH,801783.SI,股份制银行Ⅱ,银行,0.6239920645453539,589,未启动,拥挤正常,24859.0209,招商银行
515180.SH,801124.SI,食品加工,食品饮料,0.6181558993497102,589,未启动,拥挤正常,2334.1092,双汇发展
515180.SH,801045.SI,特钢Ⅱ,,0.6165477335364636,589,,,,
515180.SH,801952.SI,焦炭Ⅱ,,0.6125459985692412,589,,,,
515180.SH,801155.SI,中药Ⅱ,医药生物,0.6041145810037217,589,未启动,拥挤正常,7735.1883,云南白药
515180.SH,801012.SI,农产品加工,农林牧渔,0.6023405661363764,589,未启动,拥挤正常,2772.907,金龙鱼
515180.SH,801713.SI,装修建材,建筑材料,0.5931574843718643,589,未启动,拥挤正常,2775.4368,北新建材
515180.SH,801132.SI,服装家纺,纺织服饰,0.5915346971465485,589,未启动,拥挤正常,3324.0443,雅戈尔
515180.SH,801143.SI,造纸,,0.5909054079887777,589,,,,
515180.SH,801038.SI,农化制品,基础化工,0.5858814415071427,589,观察中,拥挤正常,8342.5723,盐湖股份
515180.SH,801154.SI,医药商业,医药生物,0.5856602548438272,589,未启动,拥挤正常,2993.5265,上海医药
515180.SH,801034.SI,化学制品,基础化工,0.5843965519773594,589,观察中,拥挤偏高,17648.4718,万华化学
515180.SH,801043.SI,冶钢原料,,0.5829677953320036,589,,,,
515180.SH,801971.SI,环境治理,环保,0.5808722742625926,589,未启动,拥挤正常,7927.3233,电投水电
515180.SH,801194.SI,保险Ⅱ,非银金融,0.5712458915447454,589,未启动,拥挤正常,18459.7381,中国平安
515180.SH,801126.SI,非白酒,,0.560958368959484,589,,,,
515180.SH,801142.SI,家居用品,轻工制造,0.5583787925906718,589,未启动,拥挤正常,4961.7229,公牛集团
515180.SH,801127.SI,饮料乳品,食品饮料,0.5429763412296617,589,未启动,拥挤正常,4520.8515,伊利股份
515180.SH,801114.SI,厨卫电器,,0.5391414140434376,589,,,,
515180.SH,801962.SI,油服工程,,0.5338643245574255,589,,,,
515180.SH,801055.SI,工业金属,有色金属,0.5333050599966171,589,趋势延续型偏强,拥挤正常,26753.7706,紫金矿业
515180.SH,801032.SI,化学纤维,基础化工,0.5323706917133146,589,趋势延续型偏强,拥挤正常,2857.0491,华峰化学
515180.SH,801129.SI,调味发酵品Ⅱ,食品饮料,0.5295980229096968,589,观察中,拥挤偏高,3292.2648,海天味业
515180.SH,801982.SI,化妆品,,0.5244962742425225,589,,,,
515180.SH,801181.SI,房地产开发,房地产,0.5239747880001367,589,未启动,拥挤正常,10194.545,招商蛇口
515180.SH,801991.SI,航空机场,交通运输,0.5229730670914398,589,未启动,拥挤正常,4869.4709,中国国航
515180.SH,801131.SI,纺织制造,,0.5184716281181814,589,,,,
515180.SH,801981.SI,个护用品,,0.513366025914157,589,,,,
515180.SH,801014.SI,饲料,,0.5129506711209912,589,,,,
515180.SH,801218.SI,专业服务,社会服务,0.5123225691469819,589,未启动,拥挤正常,2173.249,华测检测
515180.SH,801191.SI,多元金融,非银金融,0.5111275488322508,589,未启动,拥挤正常,5974.1837,电投产融
515180.SH,801017.SI,养殖业,农林牧渔,0.506139134330067,589,未启动,拥挤正常,4826.4033,牧原股份
515180.SH,801077.SI,工程机械,机械设备,0.5051682465764132,589,未启动,拥挤正常,7375.3613,三一重工
515180.SH,801111.SI,白色家电,家用电器,0.5024593567712464,589,观察中,拥挤正常,9962.6047,美的集团
515180.SH,801153.SI,医疗器械,医药生物,0.49853525539579024,589,未启动,拥挤正常,12702.4453,迈瑞医疗
515180.SH,801128.SI,休闲食品,,0.49195371350584627,589,,,,
515180.SH,801125.SI,白酒Ⅱ,食品饮料,0.4876079493387006,589,未启动,拥挤正常,25237.2839,贵州茅台
515180.SH,801133.SI,饰品,,0.486334196004855,589,,,,
515180.SH,801202.SI,贸易Ⅱ,,0.4850444998654066,589,,,,
515180.SH,801203.SI,一般零售,商贸零售,0.4779957699338819,589,未启动,拥挤正常,5103.677,小商品城
515180.SH,801769.SI,出版,传媒,0.4768234634214789,589,未启动,拥挤正常,2655.8057,凤凰传媒
515180.SH,801972.SI,环保设备Ⅱ,,0.4764375467910345,589,,,,
515180.SH,801152.SI,生物制品,医药生物,0.46385663678759653,589,未启动,拥挤正常,6991.5468,荣昌生物
515180.SH,801183.SI,房地产服务,,0.46320384324111397,589,,,,
515180.SH,801219.SI,酒店餐饮,,0.4622317132859794,589,,,,
515180.SH,801193.SI,证券Ⅱ,非银金融,0.4597582058667854,589,未启动,拥挤正常,30590.8863,中信证券
515180.SH,801726.SI,工程咨询服务Ⅱ,建筑装饰,0.45867586314886744,589,观察中,拥挤正常,2130.1226,太极实业
515180.SH,801993.SI,旅游及景区,,0.45284137580193773,589,,,,
515180.SH,801782.SI,国有大型银行Ⅱ,银行,0.44959917777217134,589,观察中,拥挤正常,65457.6296,建设银行
515180.SH,801744.SI,航海装备Ⅱ,国防军工,0.4472926785360789,589,未启动,拥挤正常,4839.2539,中国船舶
515180.SH,801141.SI,包装印刷,轻工制造,0.44589709804125627,589,未启动,拥挤正常,2719.0411,裕同科技
515180.SH,801074.SI,专用设备,机械设备,0.44350329635633795,589,未启动,拥挤正常,17353.2005,杰瑞股份
515180.SH,801018.SI,动物保健Ⅱ,,0.4430660868014858,589,,,,
515180.SH,801738.SI,电网设备,电力设备,0.439805538006046,589,趋势延续型偏强,拥挤正常,19351.7827,国电南瑞
515180.SH,801151.SI,化学制药,医药生物,0.4376797510540213,589,未启动,拥挤正常,18605.1181,百济神州
515180.SH,801722.SI,装修装饰Ⅱ,,0.43758054779046024,589,,,,
515180.SH,801016.SI,种植业,,0.4333490651295435,589,,,,
515180.SH,801092.SI,汽车服务,,0.42413571479138384,589,,,,
515180.SH,801204.SI,专业连锁Ⅱ,,0.4237561830333501,589,,,,
515180.SH,801115.SI,照明设备Ⅱ,,0.4222207586913134,589,,,,
515180.SH,801037.SI,橡胶,,0.42207518615491735,589,,,,
515180.SH,801054.SI,小金属,有色金属,0.4213102526444654,589,趋势延续型偏强,过热预警,12369.059,北方稀土
515180.SH,801113.SI,小家电,家用电器,0.4124323837719425,589,未启动,拥挤正常,2060.7923,苏泊尔
515180.SH,801223.SI,通信服务,通信,0.4097280271773394,589,未启动,拥挤正常,11069.9517,中国移动
515180.SH,801736.SI,风电设备,电力设备,0.40939147016325284,589,未启动,拥挤正常,4452.3088,金风科技
515180.SH,801095.SI,乘用车,汽车,0.4050992070989053,589,未启动,拥挤正常,10761.2484,比亚迪
515180.SH,801712.SI,玻璃玻纤,建筑材料,0.40428340632892146,589,趋势延续型偏强,过热预警,6656.9345,宏和科技
515180.SH,801995.SI,电视广播Ⅱ,,0.4028851564196265,589,,,,
