theme_code,sw_code,sw_name,l1_name,corr_daily_ret,common_days,first_common_date,latest_common_date,final_label,crowding_label,total_mv_yi,leader_top1_name
159992.SZ,801151.SI,化学制药,医药生物,0.9435376070453338,611,20240102,20260714,观察中,拥挤正常,20549.6785,百济神州
159992.SZ,801152.SI,生物制品,医药生物,0.9191743729799745,611,20240102,20260714,观察中,拥挤正常,6848.712,荣昌生物
159992.SZ,801156.SI,医疗服务,医药生物,0.9057532763587103,611,20240102,20260714,趋势延续型偏强,拥挤偏高,9353.6116,药明康德
159992.SZ,801153.SI,医疗器械,医药生物,0.8311584833119562,611,20240102,20260714,观察中,拥挤正常,12240.0311,迈瑞医疗
159992.SZ,801155.SI,中药Ⅱ,医药生物,0.7794185627286863,611,20240102,20260714,观察中,拥挤正常,7736.167,云南白药
159992.SZ,801154.SI,医药商业,医药生物,0.7085962218311996,611,20240102,20260714,观察中,拥挤正常,2972.8045,上海医药
159992.SZ,801218.SI,专业服务,,0.6606968878405736,611,20240102,20260714,,,,
159992.SZ,801982.SI,化妆品,,0.6543639224406488,611,20240102,20260714,,,,
159992.SZ,801737.SI,电池,电力设备,0.6441319010973044,611,20240102,20260714,观察中,拥挤正常,33460.152,宁德时代
159992.SZ,801034.SI,化学制品,基础化工,0.6428457404004008,611,20240102,20260714,观察中,拥挤正常,16979.7652,万华化学
159992.SZ,801124.SI,食品加工,食品饮料,0.6362192203115998,611,20240102,20260714,观察中,拥挤正常,2179.9342,双汇发展
159992.SZ,801129.SI,调味发酵品Ⅱ,食品饮料,0.6323671100140772,611,20240102,20260714,未启动,拥挤正常,3229.3994,海天味业
159992.SZ,801193.SI,证券Ⅱ,非银金融,0.6254473821156895,611,20240102,20260714,早期启动,拥挤正常,32209.174,中信证券
159992.SZ,801764.SI,游戏Ⅱ,传媒,0.6236426819778369,611,20240102,20260714,未启动,拥挤正常,4662.6539,世纪华通
159992.SZ,801981.SI,个护用品,,0.6227806792577668,611,20240102,20260714,,,,
159992.SZ,801018.SI,动物保健Ⅱ,,0.6139724716016279,611,20240102,20260714,,,,
159992.SZ,801104.SI,软件开发,计算机,0.6109364764253233,611,20240102,20260714,观察中,拥挤正常,15490.0264,同花顺
159992.SZ,801093.SI,汽车零部件,汽车,0.5994437231580685,611,20240102,20260714,未启动,拥挤正常,23619.578,潍柴动力
159992.SZ,801101.SI,计算机设备,计算机,0.5987084255693155,611,20240102,20260714,观察中,拥挤正常,12560.6278,海康威视
159992.SZ,801142.SI,家居用品,轻工制造,0.5968988060056964,611,20240102,20260714,未启动,拥挤正常,4364.2119,公牛集团
159992.SZ,801074.SI,专用设备,机械设备,0.5933880809851064,611,20240102,20260714,观察中,拥挤正常,16667.8657,大族数控
159992.SZ,801078.SI,自动化设备,机械设备,0.5926902185154316,611,20240102,20260714,趋势延续型偏强,拥挤偏高,13830.0337,汇川技术
159992.SZ,801178.SI,物流,交通运输,0.5924016434580787,611,20240102,20260714,未启动,拥挤正常,5991.203,顺丰控股
159992.SZ,801972.SI,环保设备Ⅱ,,0.5878041924801747,611,20240102,20260714,,,,
159992.SZ,801724.SI,专业工程,建筑装饰,0.5845658905648866,611,20240102,20260714,观察中,拥挤正常,3997.2159,中国中冶
159992.SZ,801971.SI,环境治理,环保,0.5842260543446333,611,20240102,20260714,观察中,拥挤正常,6599.6799,电投水电
159992.SZ,801012.SI,农产品加工,农林牧渔,0.5833302246887154,611,20240102,20260714,观察中,拥挤正常,2550.9493,金龙鱼
159992.SZ,801036.SI,塑料,基础化工,0.5824870256834028,611,20240102,20260714,观察中,拥挤正常,7208.9751,上纬新材
159992.SZ,801113.SI,小家电,,0.582234046263569,611,20240102,20260714,,,,
159992.SZ,801191.SI,多元金融,非银金融,0.5810533908870121,611,20240102,20260714,未启动,拥挤正常,4387.0679,电投产融
159992.SZ,801132.SI,服装家纺,纺织服饰,0.5791752763092071,611,20240102,20260714,观察中,拥挤正常,3090.9885,雅戈尔
159992.SZ,801037.SI,橡胶,,0.5789527245943393,611,20240102,20260714,,,,
159992.SZ,801072.SI,通用设备,机械设备,0.5767167513874603,611,20240102,20260714,观察中,拥挤正常,22969.9402,联讯仪器
159992.SZ,801141.SI,包装印刷,轻工制造,0.5764477290370019,611,20240102,20260714,观察中,拥挤正常,2365.6513,裕同科技
159992.SZ,801095.SI,乘用车,汽车,0.5717447962926145,611,20240102,20260714,未启动,拥挤正常,9212.7929,比亚迪
159992.SZ,801128.SI,休闲食品,,0.5706143514429864,611,20240102,20260714,,,,
159992.SZ,801056.SI,能源金属,有色金属,0.5676427109404099,611,20240102,20260714,观察中,拥挤正常,4060.3814,藏格矿业
159992.SZ,801143.SI,造纸,,0.5667746539593785,611,20240102,20260714,,,,
159992.SZ,801713.SI,装修建材,建筑材料,0.5652417899945004,611,20240102,20260714,观察中,拥挤正常,2323.6708,北新建材
159992.SZ,801145.SI,文娱用品,,0.5651093954826862,611,20240102,20260714,,,,
159992.SZ,801086.SI,电子化学品Ⅱ,电子,0.5628859768249977,611,20240102,20260714,趋势延续型强势,拥挤偏高,8599.9177,鼎龙股份
159992.SZ,801126.SI,非白酒,,0.5597547499729433,611,20240102,20260714,,,,
159992.SZ,801881.SI,摩托车及其他,,0.5585428366397713,611,20240102,20260714,,,,
159992.SZ,801735.SI,光伏设备,电力设备,0.555928192890434,611,20240102,20260714,观察中,拥挤正常,14153.3009,阳光电源
159992.SZ,801038.SI,农化制品,基础化工,0.5557459695829595,611,20240102,20260714,观察中,拥挤正常,8346.0537,盐湖股份
159992.SZ,801103.SI,IT服务Ⅱ,计算机,0.5530281308843701,611,20240102,20260714,观察中,拥挤正常,12736.2359,紫光股份
159992.SZ,801131.SI,纺织制造,,0.5524916228808056,611,20240102,20260714,,,,
159992.SZ,801032.SI,化学纤维,基础化工,0.5515015446198764,611,20240102,20260714,未启动,拥挤正常,2502.8979,华峰化学
159992.SZ,801767.SI,数字媒体,,0.54900673608843,611,20240102,20260714,,,,
159992.SZ,801092.SI,汽车服务,,0.5406398005719916,611,20240102,20260714,,,,
159992.SZ,801081.SI,半导体,电子,0.5401673132133863,611,20240102,20260714,趋势延续型强势,过热退潮,124663.9789,中芯国际
159992.SZ,801045.SI,特钢Ⅱ,,0.5398918205024249,611,20240102,20260714,,,,
159992.SZ,801745.SI,军工电子Ⅱ,国防军工,0.5392393595342294,611,20240102,20260714,观察中,拥挤正常,10544.4895,中航成飞
159992.SZ,801204.SI,专业连锁Ⅱ,,0.538542614534924,611,20240102,20260714,,,,
159992.SZ,801014.SI,饲料,,0.5383178427917864,611,20240102,20260714,,,,
159992.SZ,801206.SI,互联网电商,,0.5372762738821578,611,20240102,20260714,,,,
159992.SZ,801742.SI,航空装备Ⅱ,国防军工,0.5363748757737329,611,20240102,20260714,未启动,拥挤正常,8733.2145,中航沈飞
159992.SZ,801116.SI,家电零部件Ⅱ,家用电器,0.5356155424176241,611,20240102,20260714,未启动,拥挤正常,3243.4356,三花智控
159992.SZ,801114.SI,厨卫电器,,0.5339774965752974,611,20240102,20260714,,,,
159992.SZ,801995.SI,电视广播Ⅱ,,0.5327029558742684,611,20240102,20260714,,,,
