theme_code,sw_code,sw_name,l1_name,corr_daily_ret,common_days,final_label,crowding_label,total_mv_yi,leader_top1_name
159998.SZ,801104.SI,软件开发,计算机,0.9405355319187705,601,观察中,拥挤正常,16550.1411,同花顺
159998.SZ,801101.SI,计算机设备,计算机,0.9405076551257465,601,观察中,拥挤正常,13129.6178,海康威视
159998.SZ,801103.SI,IT服务Ⅱ,计算机,0.9255708466700465,601,观察中,拥挤正常,13345.3856,紫光股份
159998.SZ,801081.SI,半导体,电子,0.8141028592538515,601,趋势延续型强势,过热退潮,138109.5618,中芯国际
159998.SZ,801078.SI,自动化设备,机械设备,0.803664408269838,601,趋势延续型强势,拥挤偏高,15956.4472,汇川技术
159998.SZ,801084.SI,光学光电子,电子,0.7848071429525384,601,趋势延续型强势,过热预警,17866.1055,京东方A
159998.SZ,801745.SI,军工电子Ⅱ,国防军工,0.7836594208659688,601,观察中,拥挤正常,12210.0097,中航成飞
159998.SZ,801082.SI,其他电子Ⅱ,电子,0.779938151618486,601,趋势延续型偏强,拥挤正常,5853.2455,香农芯创
159998.SZ,801085.SI,消费电子,电子,0.7787814389576927,601,趋势延续型强势,拥挤正常,40057.6333,工业富联
159998.SZ,801072.SI,通用设备,机械设备,0.7784688814348184,601,趋势延续型偏强,拥挤正常,25721.8436,联讯仪器
159998.SZ,801223.SI,通信服务,通信,0.7769980589394977,601,观察中,拥挤正常,10110.7929,中国移动
159998.SZ,801074.SI,专用设备,机械设备,0.7645107092148062,601,趋势延续型强势,拥挤正常,18052.0965,大族数控
159998.SZ,801764.SI,游戏Ⅱ,传媒,0.7573078584895913,601,观察中,拥挤正常,4791.9313,世纪华通
159998.SZ,801767.SI,数字媒体,,0.7467508043692441,601,,,,
159998.SZ,801733.SI,其他电源设备Ⅱ,电力设备,0.7465644109708459,601,趋势延续型偏强,拥挤正常,7057.1898,上海电气
159998.SZ,801036.SI,塑料,基础化工,0.7407098551953898,601,趋势延续型偏强,拥挤正常,8408.4011,东材科技
159998.SZ,801086.SI,电子化学品Ⅱ,电子,0.738355119359601,601,趋势延续型强势,过热退潮,10472.536,国瓷材料
159998.SZ,801093.SI,汽车零部件,汽车,0.737661403305966,601,观察中,拥挤正常,24694.4413,潍柴动力
159998.SZ,801218.SI,专业服务,社会服务,0.7372755489399306,601,观察中,拥挤正常,2282.7848,胜科纳米
159998.SZ,801112.SI,黑色家电,,0.7203794311819373,601,,,,
159998.SZ,801742.SI,航空装备Ⅱ,国防军工,0.7127157596380979,601,观察中,拥挤正常,9646.4533,中航沈飞
159998.SZ,801193.SI,证券Ⅱ,非银金融,0.7117007359026224,601,观察中,拥挤正常,34327.4767,中信证券
159998.SZ,801765.SI,广告营销,传媒,0.7067579590753841,601,观察中,拥挤正常,2686.2047,分众传媒
159998.SZ,801731.SI,电机Ⅱ,电力设备,0.7033694681964873,601,观察中,拥挤正常,3066.2523,卧龙电驱
159998.SZ,801972.SI,环保设备Ⅱ,,0.7028640570210999,601,,,,
159998.SZ,801206.SI,互联网电商,,0.6986421545928309,601,,,,
159998.SZ,801102.SI,通信设备,通信,0.6974647135837323,601,趋势延续型偏强,拥挤正常,50755.1938,中际旭创
159998.SZ,801191.SI,多元金融,非银金融,0.6962817974930069,601,观察中,拥挤正常,5544.8706,电投产融
159998.SZ,801051.SI,金属新材料,有色金属,0.695230632480077,601,趋势延续型强势,拥挤正常,4528.8323,金力永磁
159998.SZ,801116.SI,家电零部件Ⅱ,家用电器,0.6934331618986845,601,观察中,拥挤正常,3537.8061,三花智控
159998.SZ,801037.SI,橡胶,,0.6800759042293343,601,,,,
159998.SZ,801995.SI,电视广播Ⅱ,,0.6780301661455547,601,,,,
159998.SZ,801153.SI,医疗器械,医药生物,0.6692896198392646,601,观察中,拥挤正常,12117.2654,迈瑞医疗
159998.SZ,801083.SI,元件,电子,0.66870484022766,601,趋势延续型强势,拥挤偏高,38247.9572,东山精密
159998.SZ,801141.SI,包装印刷,轻工制造,0.6631001911710426,601,观察中,拥挤正常,2710.3726,裕同科技
159998.SZ,801726.SI,工程咨询服务Ⅱ,建筑装饰,0.6573398477099263,601,趋势延续型偏强,过热预警,2351.0079,太极实业
