theme_code,sw_code,sw_name,l1_name,corr_daily_ret,common_days,final_label,crowding_label,total_mv_yi,leader_top1_name
512980.SH,801767.SI,数字媒体,,0.9100528723590451,601,,,,
512980.SH,801765.SI,广告营销,传媒,0.9084170072150421,601,观察中,拥挤正常,2686.2047,分众传媒
512980.SH,801764.SI,游戏Ⅱ,传媒,0.9073842421913305,601,观察中,拥挤正常,4791.9313,世纪华通
512980.SH,801769.SI,出版,传媒,0.8532543530999873,601,观察中,拥挤正常,2366.7581,凤凰传媒
512980.SH,801104.SI,软件开发,计算机,0.8463228471463321,601,观察中,拥挤正常,16550.1411,同花顺
512980.SH,801995.SI,电视广播Ⅱ,,0.8462130451422549,601,,,,
512980.SH,801103.SI,IT服务Ⅱ,计算机,0.8371404040626944,601,观察中,拥挤正常,13345.3856,紫光股份
512980.SH,801766.SI,影视院线,,0.8274808673735233,601,,,,
512980.SH,801206.SI,互联网电商,,0.7880847706763203,601,,,,
512980.SH,801101.SI,计算机设备,计算机,0.7828674732228301,601,观察中,拥挤正常,13129.6178,海康威视
512980.SH,801223.SI,通信服务,通信,0.7625387337200312,601,观察中,拥挤正常,10110.7929,中国移动
512980.SH,801218.SI,专业服务,社会服务,0.7521600779959531,601,观察中,拥挤正常,2282.7848,胜科纳米
512980.SH,801072.SI,通用设备,机械设备,0.7359528344055599,601,趋势延续型偏强,拥挤正常,25721.8436,联讯仪器
512980.SH,801074.SI,专用设备,机械设备,0.7316095872574218,601,趋势延续型强势,拥挤正常,18052.0965,大族数控
512980.SH,801994.SI,教育,,0.729728417874169,601,,,,
512980.SH,801141.SI,包装印刷,轻工制造,0.7230206027444073,601,观察中,拥挤正常,2710.3726,裕同科技
512980.SH,801145.SI,文娱用品,,0.7089528556755053,601,,,,
512980.SH,801153.SI,医疗器械,医药生物,0.7054365438091178,601,观察中,拥挤正常,12117.2654,迈瑞医疗
512980.SH,801204.SI,专业连锁Ⅱ,,0.7001469543927186,601,,,,
512980.SH,801078.SI,自动化设备,机械设备,0.6968510256184204,601,趋势延续型强势,拥挤偏高,15956.4472,汇川技术
512980.SH,801036.SI,塑料,基础化工,0.6939557757186235,601,趋势延续型偏强,拥挤正常,8408.4011,东材科技
512980.SH,801724.SI,专业工程,建筑装饰,0.6907876717218656,601,观察中,拥挤正常,4403.6112,亚翔集成
512980.SH,801093.SI,汽车零部件,汽车,0.6898942889416421,601,观察中,拥挤正常,24694.4413,潍柴动力
512980.SH,801745.SI,军工电子Ⅱ,国防军工,0.6885458334017289,601,观察中,拥挤正常,12210.0097,中航成飞
512980.SH,801084.SI,光学光电子,电子,0.686726343724534,601,趋势延续型强势,过热预警,17866.1055,京东方A
512980.SH,801972.SI,环保设备Ⅱ,,0.6832193287825751,601,,,,
512980.SH,801191.SI,多元金融,非银金融,0.6754585552647248,601,观察中,拥挤正常,5544.8706,电投产融
512980.SH,801726.SI,工程咨询服务Ⅱ,建筑装饰,0.6696400345209915,601,趋势延续型偏强,过热预警,2351.0079,太极实业
512980.SH,801971.SI,环境治理,环保,0.6680138097027934,601,观察中,拥挤正常,7358.8992,电投水电
512980.SH,801092.SI,汽车服务,,0.6669418356143365,601,,,,
512980.SH,801112.SI,黑色家电,,0.6668601362263928,601,,,,
512980.SH,801156.SI,医疗服务,医药生物,0.6660457849927222,601,观察中,拥挤正常,9117.2282,药明康德
512980.SH,801733.SI,其他电源设备Ⅱ,电力设备,0.6576328508304607,601,趋势延续型偏强,拥挤正常,7057.1898,上海电气
512980.SH,801082.SI,其他电子Ⅱ,电子,0.6566031971720816,601,趋势延续型偏强,拥挤正常,5853.2455,香农芯创
512980.SH,801152.SI,生物制品,医药生物,0.6499485919803624,601,观察中,拥挤正常,7128.4953,荣昌生物
512980.SH,801131.SI,纺织制造,,0.6494681848553924,601,,,,
512980.SH,801132.SI,服装家纺,纺织服饰,0.6486142872024518,601,观察中,拥挤正常,3165.3716,雅戈尔
512980.SH,801085.SI,消费电子,电子,0.6462237140589785,601,趋势延续型强势,拥挤正常,40057.6333,工业富联
512980.SH,801731.SI,电机Ⅱ,电力设备,0.6402357436605834,601,观察中,拥挤正常,3066.2523,卧龙电驱
512980.SH,801051.SI,金属新材料,有色金属,0.6386792536469731,601,趋势延续型强势,拥挤正常,4528.8323,金力永磁
512980.SH,801142.SI,家居用品,轻工制造,0.6373827424175578,601,未启动,拥挤正常,4526.0626,公牛集团
512980.SH,801037.SI,橡胶,,0.6330199521035188,601,,,,
512980.SH,801982.SI,化妆品,,0.6300539191322237,601,,,,
512980.SH,801742.SI,航空装备Ⅱ,国防军工,0.6297434994928783,601,观察中,拥挤正常,9646.4533,中航沈飞
512980.SH,801151.SI,化学制药,医药生物,0.6285392290128984,601,观察中,拥挤正常,20077.5826,百济神州
512980.SH,801034.SI,化学制品,基础化工,0.6278070575129392,601,趋势延续型偏强,拥挤偏高,19598.4824,万华化学
512980.SH,801143.SI,造纸,,0.6244710099762196,601,,,,
512980.SH,801115.SI,照明设备Ⅱ,,0.6221447116301425,601,,,,
512980.SH,801722.SI,装修装饰Ⅱ,,0.6211983647252933,601,,,,
512980.SH,801116.SI,家电零部件Ⅱ,家用电器,0.6210156383616867,601,观察中,拥挤正常,3537.8061,三花智控
512980.SH,801736.SI,风电设备,电力设备,0.6194506687216238,601,观察中,拥挤正常,4015.0574,金风科技
512980.SH,801193.SI,证券Ⅱ,非银金融,0.61666985356726,601,观察中,拥挤正常,34327.4767,中信证券
512980.SH,801086.SI,电子化学品Ⅱ,电子,0.6096398473684284,601,趋势延续型强势,过热退潮,10472.536,国瓷材料
512980.SH,801713.SI,装修建材,建筑材料,0.596285561262181,601,观察中,拥挤正常,2546.0149,北新建材
512980.SH,801231.SI,综合Ⅱ,,0.5960924509505781,601,,,,
512980.SH,801178.SI,物流,交通运输,0.595527270788671,601,观察中,拥挤正常,5918.8756,顺丰控股
512980.SH,801081.SI,半导体,电子,0.5931693664818621,601,趋势延续型强势,过热退潮,138109.5618,中芯国际
512980.SH,801032.SI,化学纤维,基础化工,0.592584495925245,601,观察中,拥挤正常,2951.048,华峰化学
512980.SH,801114.SI,厨卫电器,,0.5923029966690204,601,,,,
512980.SH,801155.SI,中药Ⅱ,医药生物,0.5916789768988561,601,观察中,拥挤正常,7236.2227,云南白药
512980.SH,801045.SI,特钢Ⅱ,,0.5915823034983687,601,,,,
512980.SH,801012.SI,农产品加工,农林牧渔,0.5884456507754393,601,观察中,拥挤正常,2528.5172,金龙鱼
512980.SH,801154.SI,医药商业,医药生物,0.5877746526063716,601,观察中,拥挤正常,2737.7703,上海医药
512980.SH,801738.SI,电网设备,电力设备,0.5817709859798178,601,观察中,拥挤正常,17182.4831,国电南瑞
512980.SH,801203.SI,一般零售,商贸零售,0.5814883264809664,601,观察中,拥挤正常,4468.5441,小商品城
512980.SH,801202.SI,贸易Ⅱ,,0.5788841663732769,601,,,,
512980.SH,801993.SI,旅游及景区,,0.5766558496805928,601,,,,
512980.SH,801102.SI,通信设备,通信,0.574980407843803,601,趋势延续型偏强,拥挤正常,50755.1938,中际旭创
512980.SH,801181.SI,房地产开发,房地产,0.574681921613795,601,观察中,拥挤正常,9240.7683,招商蛇口
512980.SH,801735.SI,光伏设备,电力设备,0.5743274047500155,601,观察中,拥挤正常,17263.8052,阳光电源
512980.SH,801981.SI,个护用品,,0.5734359245779691,601,,,,
512980.SH,801124.SI,食品加工,食品饮料,0.5665617019030754,601,未启动,拥挤正常,2159.6365,双汇发展
512980.SH,801113.SI,小家电,,0.5620329901408463,601,,,,
512980.SH,801737.SI,电池,电力设备,0.558596412670616,601,观察中,拥挤正常,38215.1682,宁德时代
512980.SH,801741.SI,航天装备Ⅱ,国防军工,0.5568781585941579,601,观察中,拥挤正常,4768.0595,中国卫通
512980.SH,801881.SI,摩托车及其他,,0.5531533358163766,601,,,,
512980.SH,801129.SI,调味发酵品Ⅱ,食品饮料,0.5414778425546939,601,未启动,拥挤正常,3206.5844,海天味业
512980.SH,801095.SI,乘用车,汽车,0.5382637285706205,601,未启动,拥挤正常,8859.7402,比亚迪
512980.SH,801076.SI,轨交设备Ⅱ,机械设备,0.5382113034443861,601,观察中,拥挤正常,3822.3759,中国中车
512980.SH,801723.SI,基础建设,建筑装饰,0.5336890937586238,601,未启动,拥挤正常,7238.3989,中国能建
512980.SH,801219.SI,酒店餐饮,,0.5286236778025141,601,,,,
512980.SH,801033.SI,化学原料,基础化工,0.525726209458478,601,观察中,拥挤正常,8039.0885,宝丰能源
512980.SH,801128.SI,休闲食品,,0.5257085396507073,601,,,,
512980.SH,801183.SI,房地产服务,,0.5257056368056989,601,,,,
512980.SH,801743.SI,地面兵装Ⅱ,,0.5241817155185358,601,,,,
512980.SH,801043.SI,冶钢原料,,0.521726396976264,601,,,,
512980.SH,801018.SI,动物保健Ⅱ,,0.5206935765839641,601,,,,
512980.SH,801096.SI,商用车,汽车,0.5200510699453171,601,观察中,拥挤正常,2549.8259,宇通客车
512980.SH,801056.SI,能源金属,有色金属,0.5197883382567866,601,未启动,拥挤正常,6582.1888,赣锋锂业
512980.SH,801039.SI,非金属材料Ⅱ,,0.5149820653538361,601,,,,
512980.SH,801083.SI,元件,电子,0.5148976341099728,601,趋势延续型强势,拥挤偏高,38247.9572,东山精密
512980.SH,801126.SI,非白酒,,0.5099310521091578,601,,,,
512980.SH,801077.SI,工程机械,机械设备,0.5021942675264731,601,未启动,拥挤正常,6949.8632,三一重工
512980.SH,801721.SI,房屋建设Ⅱ,建筑装饰,0.5007594186282669,601,未启动,拥挤正常,2505.6597,中国建筑
512980.SH,801991.SI,航空机场,交通运输,0.5003774254817492,601,未启动,拥挤正常,4847.2062,中国国航
512980.SH,801054.SI,小金属,有色金属,0.49133704162704983,601,趋势延续型强势,拥挤正常,14444.673,中钨高新
512980.SH,801038.SI,农化制品,基础化工,0.490575972422884,601,观察中,拥挤正常,7943.976,盐湖股份
512980.SH,801044.SI,普钢,钢铁,0.4895897213241638,601,观察中,拥挤正常,4841.8273,宝钢股份
512980.SH,801133.SI,饰品,,0.4791054377213672,601,,,,
512980.SH,801744.SI,航海装备Ⅱ,国防军工,0.4749720635866604,601,观察中,拥挤正常,4832.6669,中国船舶
512980.SH,801014.SI,饲料,,0.4585989720697925,601,,,,
512980.SH,801015.SI,渔业,,0.45785081401496186,601,,,,
512980.SH,801711.SI,水泥,建筑材料,0.45756423716860944,601,观察中,拥挤正常,2158.588,海螺水泥
512980.SH,801016.SI,种植业,,0.44065509923937907,601,,,,
512980.SH,801712.SI,玻璃玻纤,建筑材料,0.43477400467531085,601,趋势延续型强势,过热预警,9780.906,中国巨石
512980.SH,801952.SI,焦炭Ⅱ,,0.434457221440304,601,,,,
512980.SH,801194.SI,保险Ⅱ,非银金融,0.43178236077518267,601,观察中,拥挤偏高,19345.1707,中国人寿
512980.SH,801055.SI,工业金属,有色金属,0.42551653102336706,601,未启动,拥挤正常,22682.7821,紫金矿业
512980.SH,801125.SI,白酒Ⅱ,食品饮料,0.4208416249765844,601,未启动,拥挤正常,22760.0637,贵州茅台
512980.SH,801163.SI,燃气Ⅱ,公用事业,0.4179513725060853,601,观察中,拥挤正常,2612.1741,新奥股份
512980.SH,801127.SI,饮料乳品,食品饮料,0.4109640777167182,601,观察中,拥挤正常,4088.5753,伊利股份
512980.SH,801179.SI,铁路公路,交通运输,0.40805086438158,601,观察中,拥挤正常,6916.9598,京沪高铁
512980.SH,801161.SI,电力,公用事业,0.380837186899416,601,观察中,拥挤正常,33959.4438,长江电力
512980.SH,801017.SI,养殖业,农林牧渔,0.37566264088535545,601,观察中,拥挤正常,4763.9454,牧原股份
512980.SH,801992.SI,航运港口,交通运输,0.36397386093659073,601,未启动,拥挤正常,10000.9617,中远海控
512980.SH,801963.SI,炼化及贸易,石油石化,0.2811915519662093,601,未启动,拥挤正常,24380.22,中国石油
512980.SH,801053.SI,贵金属,有色金属,0.2709276674651083,601,未启动,拥挤正常,3985.9195,山东黄金
512980.SH,801962.SI,油服工程,,0.2519005767189917,601,,,,
512980.SH,801785.SI,农商行Ⅱ,银行,0.2360087576126471,601,未启动,拥挤正常,2216.0646,沪农商行
512980.SH,801783.SI,股份制银行Ⅱ,银行,0.22369927181552285,601,未启动,拥挤正常,22815.6286,招商银行
512980.SH,801111.SI,白色家电,家用电器,0.2147491899088408,601,未启动,拥挤正常,9411.4601,美的集团
512980.SH,801784.SI,城商行Ⅱ,银行,0.198839362411014,601,未启动,拥挤正常,11516.6083,江苏银行
512980.SH,801951.SI,煤炭开采,煤炭,0.14489257492504215,601,未启动,拥挤正常,16794.1845,中国神华
512980.SH,801782.SI,国有大型银行Ⅱ,银行,-0.048443213053759517,601,未启动,拥挤正常,62234.0995,工商银行
