theme_code,sw_code,sw_name,l1_name,corr_daily_ret,common_days,first_common_date,latest_common_date,final_label,crowding_label,total_mv_yi,leader_top1_name
159930.SZ,801951.SI,煤炭开采,煤炭,0.9095194804992267,611,20240102,20260714,观察中,拥挤正常,17324.8824,中国神华
159930.SZ,801963.SI,炼化及贸易,石油石化,0.8012327165204665,611,20240102,20260714,观察中,拥挤正常,26689.5232,中国石油
159930.SZ,801962.SI,油服工程,,0.6736067642523507,611,20240102,20260714,,,,
159930.SZ,801992.SI,航运港口,交通运输,0.5559547061100141,611,20240102,20260714,观察中,拥挤正常,10264.4579,中远海控
159930.SZ,801163.SI,燃气Ⅱ,公用事业,0.5496456876089604,611,20240102,20260714,观察中,拥挤正常,2499.1191,新奥股份
159930.SZ,801952.SI,焦炭Ⅱ,,0.5287046268420067,611,20240102,20260714,,,,
159930.SZ,801161.SI,电力,公用事业,0.517719878653093,611,20240102,20260714,观察中,拥挤正常,37258.2987,长江电力
159930.SZ,801033.SI,化学原料,基础化工,0.48405865194002046,611,20240102,20260714,观察中,拥挤正常,7426.9228,宝丰能源
159930.SZ,801179.SI,铁路公路,交通运输,0.46990079997066636,611,20240102,20260714,观察中,拥挤正常,7212.9845,京沪高铁
159930.SZ,801044.SI,普钢,钢铁,0.44835040316111413,611,20240102,20260714,观察中,拥挤正常,4539.4518,宝钢股份
159930.SZ,801721.SI,房屋建设Ⅱ,建筑装饰,0.43597384089635755,611,20240102,20260714,未启动,拥挤正常,2603.0373,中国建筑
159930.SZ,801723.SI,基础建设,建筑装饰,0.4330552492873531,611,20240102,20260714,未启动,拥挤正常,6537.902,中国能建
159930.SZ,801784.SI,城商行Ⅱ,银行,0.4097849395054344,611,20240102,20260714,观察中,拥挤正常,12081.5702,宁波银行
159930.SZ,801055.SI,工业金属,有色金属,0.40328392464212953,611,20240102,20260714,观察中,拥挤正常,22955.7141,紫金矿业
159930.SZ,801785.SI,农商行Ⅱ,银行,0.4031364196515798,611,20240102,20260714,观察中,拥挤正常,2347.2033,沪农商行
159930.SZ,801076.SI,轨交设备Ⅱ,机械设备,0.4029638374526872,611,20240102,20260714,未启动,拥挤正常,3505.4077,中国中车
159930.SZ,801038.SI,农化制品,基础化工,0.3825753338325266,611,20240102,20260714,观察中,拥挤正常,8346.0537,盐湖股份
159930.SZ,801043.SI,冶钢原料,,0.38147034761082904,611,20240102,20260714,,,,
159930.SZ,801783.SI,股份制银行Ⅱ,银行,0.3741810800244829,611,20240102,20260714,观察中,拥挤正常,23948.3014,招商银行
159930.SZ,801012.SI,农产品加工,农林牧渔,0.36964461528932663,611,20240102,20260714,观察中,拥挤正常,2550.9493,金龙鱼
159930.SZ,801045.SI,特钢Ⅱ,,0.36672120134306907,611,20240102,20260714,,,,
159930.SZ,801111.SI,白色家电,家用电器,0.3615830335953011,611,20240102,20260714,观察中,拥挤正常,9769.0808,美的集团
159930.SZ,801711.SI,水泥,建筑材料,0.35958257787020537,611,20240102,20260714,观察中,拥挤正常,2111.9702,海螺水泥
159930.SZ,801178.SI,物流,交通运输,0.3580982786345824,611,20240102,20260714,未启动,拥挤正常,5991.203,顺丰控股
159930.SZ,801124.SI,食品加工,食品饮料,0.3521565968680261,611,20240102,20260714,观察中,拥挤正常,2179.9342,双汇发展
159930.SZ,801744.SI,航海装备Ⅱ,国防军工,0.3338900315676474,611,20240102,20260714,未启动,拥挤正常,4878.6675,中国船舶
159930.SZ,801782.SI,国有大型银行Ⅱ,银行,0.33259540941337107,611,20240102,20260714,观察中,拥挤正常,65358.0927,工商银行
159930.SZ,801724.SI,专业工程,建筑装饰,0.3262211495920293,611,20240102,20260714,观察中,拥挤正常,3997.2159,中国中冶
159930.SZ,801034.SI,化学制品,基础化工,0.31937381970402584,611,20240102,20260714,观察中,拥挤正常,16979.7652,万华化学
159930.SZ,801154.SI,医药商业,医药生物,0.3190065448735498,611,20240102,20260714,观察中,拥挤正常,2972.8045,上海医药
159930.SZ,801143.SI,造纸,,0.3187286955609373,611,20240102,20260714,,,,
159930.SZ,801127.SI,饮料乳品,食品饮料,0.3151708324797301,611,20240102,20260714,未启动,拥挤正常,4086.2921,伊利股份
159930.SZ,801155.SI,中药Ⅱ,医药生物,0.31227654138052957,611,20240102,20260714,观察中,拥挤正常,7736.167,云南白药
159930.SZ,801017.SI,养殖业,农林牧渔,0.3056187112643895,611,20240102,20260714,观察中,拥挤正常,4554.5302,牧原股份
159930.SZ,801194.SI,保险Ⅱ,非银金融,0.2971857541431193,611,20240102,20260714,观察中,拥挤正常,19292.1008,中国人寿
159930.SZ,801077.SI,工程机械,机械设备,0.2926073187486376,611,20240102,20260714,未启动,拥挤正常,6999.6011,三一重工
159930.SZ,801133.SI,饰品,,0.29148730574190973,611,20240102,20260714,,,,
159930.SZ,801016.SI,种植业,,0.2887624345809996,611,20240102,20260714,,,,
159930.SZ,801971.SI,环境治理,环保,0.2877202764852643,611,20240102,20260714,观察中,拥挤正常,6599.6799,电投水电
159930.SZ,801713.SI,装修建材,建筑材料,0.2830203966280643,611,20240102,20260714,观察中,拥挤正常,2323.6708,北新建材
159930.SZ,801126.SI,非白酒,,0.27927716159345184,611,20240102,20260714,,,,
159930.SZ,801053.SI,贵金属,有色金属,0.27811368791938945,611,20240102,20260714,观察中,拥挤正常,4414.9893,山东黄金
159930.SZ,801114.SI,厨卫电器,,0.27123920780908656,611,20240102,20260714,,,,
159930.SZ,801014.SI,饲料,,0.26914636502189726,611,20240102,20260714,,,,
159930.SZ,801132.SI,服装家纺,纺织服饰,0.2642137615687771,611,20240102,20260714,观察中,拥挤正常,3090.9885,雅戈尔
159930.SZ,801125.SI,白酒Ⅱ,食品饮料,0.2628410255924083,611,20240102,20260714,未启动,拥挤正常,22932.0947,贵州茅台
159930.SZ,801032.SI,化学纤维,基础化工,0.25925047300317267,611,20240102,20260714,未启动,拥挤正常,2502.8979,华峰化学
159930.SZ,801129.SI,调味发酵品Ⅱ,食品饮料,0.25592191319653573,611,20240102,20260714,未启动,拥挤正常,3229.3994,海天味业
159930.SZ,801054.SI,小金属,有色金属,0.253174692257624,611,20240102,20260714,趋势延续型偏强,拥挤正常,12109.5457,中钨高新
159930.SZ,801191.SI,多元金融,非银金融,0.253009852890545,611,20240102,20260714,未启动,拥挤正常,4387.0679,电投产融
159930.SZ,801738.SI,电网设备,电力设备,0.25199875557266393,611,20240102,20260714,未启动,拥挤正常,15633.7955,国电南瑞
159930.SZ,801015.SI,渔业,,0.24688383404410322,611,20240102,20260714,,,,
159930.SZ,801095.SI,乘用车,汽车,0.24069306386884198,611,20240102,20260714,未启动,拥挤正常,9212.7929,比亚迪
159930.SZ,801982.SI,化妆品,,0.24013918937933043,611,20240102,20260714,,,,
159930.SZ,801153.SI,医疗器械,医药生物,0.23573688227775785,611,20240102,20260714,观察中,拥挤正常,12240.0311,迈瑞医疗
159930.SZ,801218.SI,专业服务,,0.23501258497677668,611,20240102,20260714,,,,
159930.SZ,801202.SI,贸易Ⅱ,,0.23259137664255813,611,20240102,20260714,,,,
159930.SZ,801142.SI,家居用品,轻工制造,0.23088937871889742,611,20240102,20260714,未启动,拥挤正常,4364.2119,公牛集团
159930.SZ,801223.SI,通信服务,通信,0.22796199991859717,611,20240102,20260714,未启动,拥挤正常,9950.158,中国移动
159930.SZ,801128.SI,休闲食品,,0.22517279284918343,611,20240102,20260714,,,,
159930.SZ,801769.SI,出版,传媒,0.21779243166960116,611,20240102,20260714,观察中,拥挤正常,2383.7186,凤凰传媒
159930.SZ,801203.SI,一般零售,商贸零售,0.21721937639162234,611,20240102,20260714,观察中,拥挤正常,4434.4896,小商品城
159930.SZ,801131.SI,纺织制造,,0.21716255786930935,611,20240102,20260714,,,,
159930.SZ,801181.SI,房地产开发,房地产,0.21663988815919122,611,20240102,20260714,未启动,拥挤正常,8500.2216,招商蛇口
159930.SZ,801981.SI,个护用品,,0.21401344748987067,611,20240102,20260714,,,,
159930.SZ,801991.SI,航空机场,交通运输,0.21378769957936766,611,20240102,20260714,未启动,拥挤正常,4607.7507,中国国航
159930.SZ,801219.SI,酒店餐饮,,0.2115210899492125,611,20240102,20260714,,,,
159930.SZ,801193.SI,证券Ⅱ,非银金融,0.20875412762887585,611,20240102,20260714,早期启动,拥挤正常,32209.174,中信证券
