theme_code,sw_code,sw_name,l1_name,corr_daily_ret,common_days,first_common_date,latest_common_date,final_label,crowding_label,total_mv_yi,leader_top1_name
512200.SH,801735.SI,光伏设备,电力设备,0.503487557989532,611,20240102,20260714,观察中,拥挤正常,14153.3009,阳光电源
512200.SH,801179.SI,铁路公路,交通运输,0.5005672841725698,611,20240102,20260714,观察中,拥挤正常,7212.9845,京沪高铁
512200.SH,801082.SI,其他电子Ⅱ,电子,0.5001235813957726,611,20240102,20260714,趋势延续型偏强,拥挤正常,4909.4794,香农芯创
512200.SH,801133.SI,饰品,,0.49912966262710884,611,20240102,20260714,,,,
512200.SH,801077.SI,工程机械,机械设备,0.4899381101848101,611,20240102,20260714,未启动,拥挤正常,6999.6011,三一重工
512200.SH,801731.SI,电机Ⅱ,电力设备,0.48894644454777364,611,20240102,20260714,未启动,拥挤正常,2825.1568,卧龙电驱
512200.SH,801078.SI,自动化设备,机械设备,0.4871628272081034,611,20240102,20260714,趋势延续型偏强,拥挤偏高,13830.0337,汇川技术
512200.SH,801733.SI,其他电源设备Ⅱ,电力设备,0.486468735953135,611,20240102,20260714,观察中,拥挤正常,6630.1465,上海电气
512200.SH,801712.SI,玻璃玻纤,建筑材料,0.4862438467164246,611,20240102,20260714,趋势延续型强势,过热预警,7858.8274,中国巨石
512200.SH,801086.SI,电子化学品Ⅱ,电子,0.4833177697905142,611,20240102,20260714,趋势延续型强势,拥挤偏高,8599.9177,鼎龙股份
512200.SH,801017.SI,养殖业,农林牧渔,0.47892024903533065,611,20240102,20260714,观察中,拥挤正常,4554.5302,牧原股份
512200.SH,801737.SI,电池,电力设备,0.47858868424151807,611,20240102,20260714,观察中,拥挤正常,33460.152,宁德时代
512200.SH,801738.SI,电网设备,电力设备,0.47222851459672244,611,20240102,20260714,未启动,拥挤正常,15633.7955,国电南瑞
512200.SH,801095.SI,乘用车,汽车,0.4721284392226246,611,20240102,20260714,未启动,拥挤正常,9212.7929,比亚迪
512200.SH,801054.SI,小金属,有色金属,0.4702294529834082,611,20240102,20260714,趋势延续型偏强,拥挤正常,12109.5457,中钨高新
512200.SH,801163.SI,燃气Ⅱ,公用事业,0.46986042500540576,611,20240102,20260714,观察中,拥挤正常,2499.1191,新奥股份
512200.SH,801881.SI,摩托车及其他,,0.4668952165260363,611,20240102,20260714,,,,
512200.SH,801039.SI,非金属材料Ⅱ,,0.46549107286529745,611,20240102,20260714,,,,
512200.SH,801223.SI,通信服务,通信,0.46368045746565784,611,20240102,20260714,未启动,拥挤正常,9950.158,中国移动
512200.SH,801116.SI,家电零部件Ⅱ,家用电器,0.4554861033890261,611,20240102,20260714,未启动,拥挤正常,3243.4356,三花智控
512200.SH,801743.SI,地面兵装Ⅱ,,0.4468430687270038,611,20240102,20260714,,,,
512200.SH,801096.SI,商用车,汽车,0.4456362566984732,611,20240102,20260714,观察中,拥挤正常,2511.9219,宇通客车
512200.SH,801113.SI,小家电,,0.43850617213526866,611,20240102,20260714,,,,
512200.SH,801055.SI,工业金属,有色金属,0.4373985165246206,611,20240102,20260714,观察中,拥挤正常,22955.7141,紫金矿业
512200.SH,801085.SI,消费电子,电子,0.4343775462256669,611,20240102,20260714,观察中,拥挤正常,36010.8137,工业富联
512200.SH,801992.SI,航运港口,交通运输,0.43155202460627606,611,20240102,20260714,观察中,拥挤正常,10264.4579,中远海控
512200.SH,801081.SI,半导体,电子,0.42043014620543,611,20240102,20260714,趋势延续型强势,过热退潮,124663.9789,中芯国际
512200.SH,801161.SI,电力,公用事业,0.41688167858085806,611,20240102,20260714,观察中,拥挤正常,37258.2987,长江电力
512200.SH,801741.SI,航天装备Ⅱ,国防军工,0.40361990197852865,611,20240102,20260714,未启动,拥挤正常,4381.5402,中国卫通
512200.SH,801744.SI,航海装备Ⅱ,国防军工,0.39100415378540915,611,20240102,20260714,未启动,拥挤正常,4878.6675,中国船舶
512200.SH,801785.SI,农商行Ⅱ,银行,0.3726918474197392,611,20240102,20260714,观察中,拥挤正常,2347.2033,沪农商行
512200.SH,801963.SI,炼化及贸易,石油石化,0.36970490464111966,611,20240102,20260714,观察中,拥挤正常,26689.5232,中国石油
512200.SH,801102.SI,通信设备,通信,0.36488969196332355,611,20240102,20260714,趋势延续型偏强,拥挤偏高,46712.0083,中际旭创
512200.SH,801783.SI,股份制银行Ⅱ,银行,0.3498060641568831,611,20240102,20260714,观察中,拥挤正常,23948.3014,招商银行
512200.SH,801083.SI,元件,电子,0.34188948158933197,611,20240102,20260714,趋势延续型强势,拥挤偏高,34406.1242,东山精密
512200.SH,801962.SI,油服工程,,0.31997881200503897,611,20240102,20260714,,,,
512200.SH,801784.SI,城商行Ⅱ,银行,0.31449314810268436,611,20240102,20260714,观察中,拥挤正常,12081.5702,宁波银行
512200.SH,801111.SI,白色家电,家用电器,0.26822567991489876,611,20240102,20260714,观察中,拥挤正常,9769.0808,美的集团
512200.SH,801053.SI,贵金属,有色金属,0.26049119502182383,611,20240102,20260714,观察中,拥挤正常,4414.9893,山东黄金
512200.SH,801951.SI,煤炭开采,煤炭,0.2505214330303519,611,20240102,20260714,观察中,拥挤正常,17324.8824,中国神华
512200.SH,801782.SI,国有大型银行Ⅱ,银行,0.016542751349677785,611,20240102,20260714,观察中,拥挤正常,65358.0927,工商银行
