theme_code,sw_code,sw_name,l1_name,corr_daily_ret,common_days,first_common_date,latest_common_date,final_label,crowding_label,total_mv_yi,leader_top1_name
512690.SH,801125.SI,白酒Ⅱ,食品饮料,0.9536157677778807,611,20240102,20260714,未启动,拥挤正常,22932.0947,贵州茅台
512690.SH,801126.SI,非白酒,,0.839078189931065,611,20240102,20260714,,,,
512690.SH,801129.SI,调味发酵品Ⅱ,食品饮料,0.7834236493977436,611,20240102,20260714,未启动,拥挤正常,3229.3994,海天味业
512690.SH,801127.SI,饮料乳品,食品饮料,0.7388721129286322,611,20240102,20260714,未启动,拥挤正常,4086.2921,伊利股份
512690.SH,801124.SI,食品加工,食品饮料,0.7250970797911755,611,20240102,20260714,观察中,拥挤正常,2179.9342,双汇发展
512690.SH,801128.SI,休闲食品,,0.6580538615788447,611,20240102,20260714,,,,
512690.SH,801155.SI,中药Ⅱ,医药生物,0.6573906301349086,611,20240102,20260714,观察中,拥挤正常,7736.167,云南白药
512690.SH,801982.SI,化妆品,,0.6451862779302249,611,20240102,20260714,,,,
512690.SH,801713.SI,装修建材,建筑材料,0.6423515512474187,611,20240102,20260714,观察中,拥挤正常,2323.6708,北新建材
512690.SH,801194.SI,保险Ⅱ,非银金融,0.6292427923218593,611,20240102,20260714,观察中,拥挤正常,19292.1008,中国人寿
512690.SH,801153.SI,医疗器械,医药生物,0.6249248538348043,611,20240102,20260714,观察中,拥挤正常,12240.0311,迈瑞医疗
512690.SH,801142.SI,家居用品,轻工制造,0.6242758867044192,611,20240102,20260714,未启动,拥挤正常,4364.2119,公牛集团
512690.SH,801178.SI,物流,交通运输,0.6211851236112175,611,20240102,20260714,未启动,拥挤正常,5991.203,顺丰控股
512690.SH,801193.SI,证券Ⅱ,非银金融,0.6148142392307884,611,20240102,20260714,早期启动,拥挤正常,32209.174,中信证券
512690.SH,801012.SI,农产品加工,农林牧渔,0.6120476685236339,611,20240102,20260714,观察中,拥挤正常,2550.9493,金龙鱼
512690.SH,801014.SI,饲料,,0.6107874125181741,611,20240102,20260714,,,,
