theme_code,sw_code,sw_name,l1_name,corr_daily_ret,common_days,final_label,crowding_label,total_mv_yi,leader_top1_name
159697.SZ,801963.SI,炼化及贸易,石油石化,0.8742298766182429,594,未启动,拥挤正常,25745.1678,中国石油
159697.SZ,801962.SI,油服工程,,0.847210769397969,594,,,,
159697.SZ,801163.SI,燃气Ⅱ,公用事业,0.7445722058319755,594,未启动,拥挤正常,2617.0921,新奥股份
159697.SZ,801992.SI,航运港口,交通运输,0.7117594103113907,594,未启动,拥挤正常,10408.0151,中远海控
159697.SZ,801951.SI,煤炭开采,煤炭,0.6503335682644229,594,未启动,拥挤正常,17661.8161,中国神华
159697.SZ,801033.SI,化学原料,基础化工,0.6272765582638694,594,未启动,拥挤正常,7720.9418,宝丰能源
159697.SZ,801952.SI,焦炭Ⅱ,,0.5731251430801163,594,,,,
159697.SZ,801012.SI,农产品加工,农林牧渔,0.517927115646905,594,未启动,拥挤正常,2608.4423,金龙鱼
159697.SZ,801038.SI,农化制品,基础化工,0.5119182617099511,594,未启动,拥挤正常,7889.2246,盐湖股份
159697.SZ,801076.SI,轨交设备Ⅱ,机械设备,0.5106696855807377,594,未启动,拥挤正常,3883.007,中国中车
159697.SZ,801723.SI,基础建设,建筑装饰,0.5086529011864083,594,未启动,拥挤正常,7585.8369,中国能建
159697.SZ,801043.SI,冶钢原料,,0.5081043243527452,594,,,,
159697.SZ,801161.SI,电力,公用事业,0.507018946179839,594,未启动,拥挤正常,35360.8857,长江电力
159697.SZ,801044.SI,普钢,钢铁,0.5048005530875799,594,未启动,拥挤正常,5030.3203,宝钢股份
159697.SZ,801034.SI,化学制品,基础化工,0.49717935374317745,594,观察中,拥挤偏高,18417.9576,万华化学
159697.SZ,801045.SI,特钢Ⅱ,,0.49063797798128356,594,,,,
159697.SZ,801179.SI,铁路公路,交通运输,0.48753356147049365,594,未启动,拥挤正常,7106.2427,京沪高铁
159697.SZ,801055.SI,工业金属,有色金属,0.47974984335140364,594,观察中,拥挤正常,25504.5514,紫金矿业
159697.SZ,801724.SI,专业工程,建筑装饰,0.4775624291027431,594,观察中,拥挤正常,4363.8171,中国中冶
159697.SZ,801971.SI,环境治理,环保,0.47110743814421063,594,未启动,拥挤正常,7619.2241,电投水电
159697.SZ,801721.SI,房屋建设Ⅱ,建筑装饰,0.46939747959139094,594,未启动,拥挤正常,2641.1787,中国建筑
159697.SZ,801178.SI,物流,交通运输,0.46181110358044314,594,未启动,拥挤正常,5831.6042,顺丰控股
159697.SZ,801143.SI,造纸,,0.4487994324996166,594,,,,
159697.SZ,801744.SI,航海装备Ⅱ,国防军工,0.43703660402629313,594,观察中,拥挤正常,4935.4463,中国船舶
159697.SZ,801032.SI,化学纤维,基础化工,0.43404716510305796,594,未启动,拥挤正常,2934.0157,华峰化学
