theme_code,sw_code,sw_name,l1_name,corr_daily_ret,common_days,first_common_date,latest_common_date,final_label,crowding_label,total_mv_yi,leader_top1_name
512010.SH,801156.SI,医疗服务,医药生物,0.9032978909822014,611,20240102,20260714,趋势延续型偏强,拥挤偏高,9353.6116,药明康德
512010.SH,801152.SI,生物制品,医药生物,0.8631193513270184,611,20240102,20260714,观察中,拥挤正常,6848.712,荣昌生物
512010.SH,801151.SI,化学制药,医药生物,0.8622684760023374,611,20240102,20260714,观察中,拥挤正常,20549.6785,百济神州
512010.SH,801153.SI,医疗器械,医药生物,0.848382017453584,611,20240102,20260714,观察中,拥挤正常,12240.0311,迈瑞医疗
512010.SH,801155.SI,中药Ⅱ,医药生物,0.7800688719581312,611,20240102,20260714,观察中,拥挤正常,7736.167,云南白药
512010.SH,801154.SI,医药商业,医药生物,0.7031330908787586,611,20240102,20260714,观察中,拥挤正常,2972.8045,上海医药
512010.SH,801129.SI,调味发酵品Ⅱ,食品饮料,0.6947716716806983,611,20240102,20260714,未启动,拥挤正常,3229.3994,海天味业
512010.SH,801193.SI,证券Ⅱ,非银金融,0.6693788174229472,611,20240102,20260714,早期启动,拥挤正常,32209.174,中信证券
512010.SH,801982.SI,化妆品,,0.664368928834753,611,20240102,20260714,,,,
512010.SH,801124.SI,食品加工,食品饮料,0.6615874572082616,611,20240102,20260714,观察中,拥挤正常,2179.9342,双汇发展
512010.SH,801737.SI,电池,电力设备,0.6594587378538026,611,20240102,20260714,观察中,拥挤正常,33460.152,宁德时代
512010.SH,801218.SI,专业服务,,0.6469534103057956,611,20240102,20260714,,,,
512010.SH,801034.SI,化学制品,基础化工,0.6444353278795931,611,20240102,20260714,观察中,拥挤正常,16979.7652,万华化学
512010.SH,801764.SI,游戏Ⅱ,传媒,0.6217333434589972,611,20240102,20260714,未启动,拥挤正常,4662.6539,世纪华通
512010.SH,801125.SI,白酒Ⅱ,食品饮料,0.6122948717589805,611,20240102,20260714,未启动,拥挤正常,22932.0947,贵州茅台
512010.SH,801981.SI,个护用品,,0.6072366311704173,611,20240102,20260714,,,,
512010.SH,801142.SI,家居用品,轻工制造,0.6024069364653886,611,20240102,20260714,未启动,拥挤正常,4364.2119,公牛集团
512010.SH,801113.SI,小家电,,0.6006107374085403,611,20240102,20260714,,,,
512010.SH,801104.SI,软件开发,计算机,0.5993833547298354,611,20240102,20260714,观察中,拥挤正常,15490.0264,同花顺
512010.SH,801178.SI,物流,交通运输,0.5991321226528884,611,20240102,20260714,未启动,拥挤正常,5991.203,顺丰控股
512010.SH,801126.SI,非白酒,,0.5981014235033786,611,20240102,20260714,,,,
512010.SH,801012.SI,农产品加工,农林牧渔,0.5942968393948979,611,20240102,20260714,观察中,拥挤正常,2550.9493,金龙鱼
512010.SH,801101.SI,计算机设备,计算机,0.5905273831810519,611,20240102,20260714,观察中,拥挤正常,12560.6278,海康威视
512010.SH,801191.SI,多元金融,非银金融,0.5883260201140632,611,20240102,20260714,未启动,拥挤正常,4387.0679,电投产融
512010.SH,801724.SI,专业工程,建筑装饰,0.5816079909784317,611,20240102,20260714,观察中,拥挤正常,3997.2159,中国中冶
512010.SH,801713.SI,装修建材,建筑材料,0.5763846852342192,611,20240102,20260714,观察中,拥挤正常,2323.6708,北新建材
512010.SH,801128.SI,休闲食品,,0.5717468774295076,611,20240102,20260714,,,,
512010.SH,801095.SI,乘用车,汽车,0.5717378172153664,611,20240102,20260714,未启动,拥挤正常,9212.7929,比亚迪
512010.SH,801078.SI,自动化设备,机械设备,0.5708602372358055,611,20240102,20260714,趋势延续型偏强,拥挤偏高,13830.0337,汇川技术
512010.SH,801735.SI,光伏设备,电力设备,0.5705547668722821,611,20240102,20260714,观察中,拥挤正常,14153.3009,阳光电源
512010.SH,801132.SI,服装家纺,纺织服饰,0.5670299991514917,611,20240102,20260714,观察中,拥挤正常,3090.9885,雅戈尔
512010.SH,801127.SI,饮料乳品,食品饮料,0.5633050882357743,611,20240102,20260714,未启动,拥挤正常,4086.2921,伊利股份
512010.SH,801038.SI,农化制品,基础化工,0.5620521448239677,611,20240102,20260714,观察中,拥挤正常,8346.0537,盐湖股份
512010.SH,801971.SI,环境治理,环保,0.5617792985848893,611,20240102,20260714,观察中,拥挤正常,6599.6799,电投水电
512010.SH,801056.SI,能源金属,有色金属,0.5613014034483607,611,20240102,20260714,观察中,拥挤正常,4060.3814,藏格矿业
512010.SH,801194.SI,保险Ⅱ,非银金融,0.559545562926026,611,20240102,20260714,观察中,拥挤正常,19292.1008,中国人寿
512010.SH,801093.SI,汽车零部件,汽车,0.558770071780476,611,20240102,20260714,未启动,拥挤正常,23619.578,潍柴动力
512010.SH,801018.SI,动物保健Ⅱ,,0.5585833260632629,611,20240102,20260714,,,,
512010.SH,801972.SI,环保设备Ⅱ,,0.5559032774350394,611,20240102,20260714,,,,
512010.SH,801074.SI,专用设备,机械设备,0.5541810752511844,611,20240102,20260714,观察中,拥挤正常,16667.8657,大族数控
512010.SH,801143.SI,造纸,,0.5491372616243996,611,20240102,20260714,,,,
512010.SH,801767.SI,数字媒体,,0.5483608250733151,611,20240102,20260714,,,,
512010.SH,801145.SI,文娱用品,,0.5479498422579208,611,20240102,20260714,,,,
512010.SH,801114.SI,厨卫电器,,0.5442003253302093,611,20240102,20260714,,,,
512010.SH,801014.SI,饲料,,0.5419781702148143,611,20240102,20260714,,,,
512010.SH,801032.SI,化学纤维,基础化工,0.5414845331327471,611,20240102,20260714,未启动,拥挤正常,2502.8979,华峰化学
